change,correlation_100,pvalue_100,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,0.99999999999999989,0.0,1.0,0.0,1.0,1.6755356507193322e-308,1.0,1.870483749871107e-154
2,0.98843067960408348,0.0,0.96749409600753011,0.0,0.90698547118451944,3.6493364042975752e-254,0.68317054364283358,4.0282779088704624e-73
4,0.97842269774094959,0.0,0.95906053519976819,0.0,0.87552885240884881,5.5116399718191896e-237,nan,nan
6,0.96683076834350079,0.0,0.9540566871606122,0.0,0.86783415317578061,7.1018619436465223e-233,0.090315466309264208,0.016797001343773908
8,0.95635947069873184,0.0,0.94823658877314809,0.0,0.85492337161886278,4.6371943267703368e-226,0.34168852437940461,1.479260308811127e-19
10,0.94467773995575544,0.0,0.94586914772731201,0.0,0.85105836202348395,4.8590403039775339e-224,0.39340927392722136,2.104776926840453e-25
12,0.93528917705393311,0.0,0.93703728356347682,0.0,0.84234310584839855,1.6166270128282492e-219,0.39119496605869497,3.890906207747219e-25
14,0.92231205195915433,0.0,0.92373325552448049,0.0,0.82617011520818751,3.0002216634604369e-211,0.31872112882127229,3.2223381125064774e-17
16,0.911856014091325,0.0,0.91241947893904396,0.0,0.81768808132973947,5.6195133135708753e-207,0.39998683080059605,3.3252460796998786e-26
18,0.9010764675913937,0.0,0.90370913750993886,0.0,0.80799910539438513,3.7702162533528785e-202,0.40797997243240791,3.3915292549721007e-27
20,0.88842823109937874,0.0,0.89955009039181855,0.0,0.81982010297280139,4.7852296235480518e-208,0.30497992307759941,6.78043499429136e-16
22,0.90680153304472,0.0,0.86466829540507983,0.0,0.79425343885273347,2.1155405171738094e-195,0.30887160972942113,2.8993279326947588e-16
24,0.89925422147591549,0.0,0.86280190731161743,0.0,0.78644104527346381,1.2875729594596017e-191,0.34958265685936341,2.1367815223978733e-20
26,0.89106695271492531,0.0,0.86510562436339977,0.0,0.7755476556795633,2.1099119160975343e-186,0.34206655319230006,1.3496875513602534e-19
28,0.8820661635409458,0.0,0.86882624815170462,0.0,0.78466135857340003,9.260591304038145e-191,0.31258164807960737,1.2773948232837845e-16
30,0.87147535264204745,0.0,0.86545820655419059,0.0,0.77914751638458901,4.0653305248787755e-188,0.30847827397749983,3.1607850715267241e-16
32,0.86233929390311626,0.0,0.87404322387974454,0.0,0.78991852836141796,2.6907674432607455e-193,0.19369871786011383,2.925021931333697e-07
34,0.85397014307613139,0.0,0.86448186861593823,0.0,0.79493988777130098,9.7975910974095326e-196,0.26682583221724193,1.6146127676977882e-12
36,0.83956155277124045,0.0,0.85234290517606837,0.0,0.78686991425616937,7.9982398836309273e-192,0.26346639553466711,3.051552489102116e-12
