change,correlation_100,pvalue_100,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,1.0,0,1.0,0,1.0,0,1.0,0
2,0.9696548902818685,0,0.948621354816748,0,0.8089585383703031,0,0.6337680719846325,0
4,0.9425550206646176,0,0.9097646154040118,0,0.6534080298786181,0,0.06986149024365584,0
6,0.9069820671531145,0,0.9179494938033461,0,0.711348323113029,0,0.313557779799818,0
8,0.8795614061479782,0,0.9124576068182104,0,0.706644459585636,0,0.3603073501162673,0
10,0.8492400058651808,0,0.9090333724170102,0,0.690413102177808,0,0.3160246688909109,0
12,0.8183129722431387,0,0.8910826178498935,0,0.6436167259696671,0,0.183783237286422,0
14,0.7811544152736549,0,0.8767502553046636,0,0.6097509273979862,0,0.02634718430896775,0
16,0.7522270147710206,0,0.866976814554257,0,0.6150099679511444,0,0.07127691841067638,0
18,0.7171963498614944,0,0.840619287164164,0,0.5959724430312665,0,0.028692750985744617,0
20,0.7797002636982091,0,0.7196565679488635,0,0.5285739521033639,0,0.14184612273784247,0
22,0.7628691811729603,0,0.7271656769671067,0,0.5197415903298256,0,0.07228793852997675,0
24,0.7490842164285028,0,0.733330811805792,0,0.5042067277361395,0,0.032615509048630066,0
26,0.7248571303266782,0,0.7408197486037041,0,0.5063365886895299,0,0.004832676170255788,0
28,0.7045807192836903,0,0.7591537753571114,0,0.5254548666313372,0,0.022990597512890506,0
30,0.6756770515923026,0,0.7683447432454581,0,0.53594266535443,0,0.05987261146496815,0
32,0.6495311190686678,0,0.7910889216687469,0,0.5862921745274686,0,0.1957132746941664,0
34,0.6215929207826852,0,0.7926194888863674,0,0.5924697807050748,0,0.1291881508442018,0
36,0.5956115366182118,0,0.7760606175220949,0,0.5837383602089484,0,0.05218885855828531,0
38,0.5644443085139201,0,0.7659064261129392,0,0.5664774017715194,0,0.05538368213527449,0
40,0.5219070324973342,0,0.7037885951309303,0,0.5451787922376158,0,0.02938024466686887,0
42,0.593771558885767,0,0.6063416417665822,0,0.43565750624574157,0,-0.05024769992922859,0
44,0.5721609527675906,0,0.6045210988817026,0,0.4779821838645368,0,0.07681730866444242,0
46,0.5537512821625066,0,0.604064702396712,0,0.4908017260958437,0,0.02254574866039834,0
48,0.5266070934860744,0,0.6068661194951902,0,0.49450627097685923,0,0.07815185522191892,0
50,0.5021082728212795,0,0.608661447104656,0,0.49539455421808365,0,0.04183601253664948,0
52,0.4688143706471221,0,0.6035956982740144,0,0.49576803694450755,0,0.0316044889293297,0
54,0.4430871807621742,0,0.6060113216586608,0,0.5224569106922048,0,0.0024062278839348905,0
56,0.4104300356188014,0,0.6226105374635954,0,0.5453806747924395,0,0.015185522191891619,0
58,0.36787854654022584,0,0.6021458199377183,0,0.5748353395412219,0,-0.00762309169952482,0
60,0.3264284965415501,0,0.5796588373236506,0,0.5613899613899614,0,0.0908098271155596,0
62,0.2918014090920532,0,0.4801215376274947,0,0.5304413657354834,0,0.13768071984632493,0
64,0.32142902620315406,0,0.34284957827451873,0,0.2727887551416963,0,0.05477707006369427,0
66,0.2974384762453735,0,0.3937718269727801,0,0.34000555177025765,0,-0.01599433828733192,0
68,0.2684938136093269,0,0.4454278401855844,0,0.44211774800010095,0,0.06832473966231928,0
70,0.2319380888659021,0,0.46212791709217443,0,0.5004618063441593,0,0.005398847437063998,0
72,0.18973548236143145,0,0.44377119659089476,0,0.5046912458677164,0,0.011626731371954302,0
74,0.13448965759050524,0,0.4399561254207799,0,0.5117672294142882,0,0.22123142250530786,0
76,0.0759465690729225,0,0.3858164075797118,0,0.48308981250157723,0,0.283793347487615,0
78,0.020544608608141418,0,0.3430765157532433,0,0.47177429530370707,0,0.42343544636538266,0
80,-0.021079613854724056,0,0.32159562262818814,0,0.424483306836248,0,0.47414821554948944,0
82,-0.08341436285079157,0,0.2376539707754958,0,0.35353168294344767,0,0.4300677383479931,0
84,-0.1046136549671594,0,0.11299973523960816,0,0.16569005980770687,0,0.30154686078252957,0
86,-0.10451673998907494,0,0.046547398413959176,0,0.07055290584702349,0,0.06237994136083308,0
88,-0.09788889695393503,0,0.009770919222865212,0,0.09258838670603377,0,-0.33822667071074713,0
0,1.0,0,1.0,0,1.0,0,1.0,0
2,0.970640990112214,0,0.9573786199679766,0,0.8293789587907235,0,0.7068041654028915,0
4,0.9348256780334706,0,0.9161062571705939,0,0.6641582759229818,0,0.12138307552320292,0
6,0.9054080784841312,0,0.9315354841963261,0,0.7259242435713024,0,0.4007885956930543,0
8,0.875672238120913,0,0.9222285260410756,0,0.705665329194741,0,0.4159943382873319,0
10,0.8463355651213027,0,0.9114565603842808,0,0.6835692835692836,0,0.38505712263674047,0
12,0.8203962519805024,0,0.8934831120692915,0,0.6557700557700558,0,0.26227883934890306,0
14,0.7853629217007454,0,0.8874213598598031,0,0.6315643374466904,0,0.14119906986149025,0
16,0.7467616452134515,0,0.8722846300288715,0,0.6020894844424256,0,0.09804873116975028,0
18,0.7149821607156958,0,0.8468827615769633,0,0.583223559694148,0,0.00746132848043676,0
20,0.7748432514622919,0,0.7507898685023388,0,0.5724834077775254,0,0.28884844808411686,0
22,0.7640177570095081,0,0.7623888951927077,0,0.5679006737830268,0,0.22499241734910524,0
24,0.7480417663014252,0,0.7679917293896643,0,0.5669821081585787,0,0.1781619654231119,0
26,0.7272404283169848,0,0.7762093876470366,0,0.5606329018093724,0,0.10965524213931857,0
28,0.7060446073144634,0,0.7790965366819219,0,0.5432104373280844,0,0.05497927408755434,0
30,0.6799466032723934,0,0.7732919802816546,0,0.5203472379942968,0,-0.02840966535234051,0
32,0.6536191192676276,0,0.784696849351337,0,0.6096802685037979,0,0.19098170053584065,0
34,0.6229193165395384,0,0.764653226924871,0,0.6133141544906251,0,0.17278333838843393,0
36,0.59826469401708,0,0.7712016339498469,0,0.619855149266914,0,0.16752603376807199,0
38,0.5607756889150287,0,0.744458312845922,0,0.5972342089989149,0,0.08219593569912041,0
40,0.5276741378399631,0,0.6905959630344063,0,0.5650844121432357,0,-0.024527348094227075,0
42,0.5911503686491807,0,0.560351500939269,0,0.4918817977641507,0,0.009604691133353554,0
44,0.5811289707503378,0,0.5859803068699018,0,0.5425139425139425,0,0.20008088160954404,0
46,0.5568103217166485,0,0.587614256716719,0,0.5349837232190173,0,0.1421292083712466,0
48,0.5337965375268338,0,0.606202957751806,0,0.5525172231054584,0,0.13691234455565665,0
50,0.5083475212360867,0,0.6059583695802917,0,0.5410200116082469,0,0.011869376200586392,0
52,0.47542593816193385,0,0.5937440901698249,0,0.5496403966992203,0,-0.04579921140430695,0
54,0.4366956331851748,0,0.5753772835583797,0,0.5293713881949176,0,-0.11050449903953088,0
56,0.399093151467991,0,0.5756975175561355,0,0.516895046306811,0,-0.033707410777474474,0
58,0.35183022272712994,0,0.5672125773793765,0,0.535508617861559,0,0.1857243959154787,0
60,0.31320602628024896,0,0.5687582737622452,0,0.5508113155171979,0,0.2914366595895258,0
62,0.28217398210989325,0,0.4217986055952696,0,0.47065384712443536,0,0.22903649782630675,0
64,0.2710216121942875,0,0.23847598875398718,0,0.3387740681858329,0,0.17375391770296228,0
66,0.3040901682976544,0,0.39951334518451276,0,0.4235142705730941,0,-0.07714083510261854,0
68,0.2788398015147558,0,0.4080814957701375,0,0.4805057157998334,0,0.07196441209180063,0
70,0.23447617545694613,0,0.3950527629638035,0,0.48487647311176724,0,0.14855929632999695,0
72,0.19301271353259558,0,0.4022365949292081,0,0.4584197643021172,0,0.23279749267010413,0
74,0.15139101075212855,0,0.3988829632991666,0,0.4375652963888258,0,0.27372358709938327,0
76,0.10120458218761151,0,0.39303049787561306,0,0.44118908824791175,0,0.32443635628349005,0
78,0.036817542123346564,0,0.3572676727561557,0,0.4335074570368688,0,0.5004751794560712,0
80,-0.02577671651572262,0,0.32174187122558845,0,0.40446665152547506,0,0.5236477605904357,0
82,-0.08828788852891617,0,0.19659845934667222,0,0.3000429000429,0,0.4333030027297543,0
84,-0.12408097624584617,0,0.09989031355194977,0,0.15895727660433542,0,0.24848852492164594,0
86,-0.13390166922936036,0,0.014329841017688515,0,-0.05725893961188079,0,-0.0967546254170458,0
88,-0.12288735240010563,0,-0.004442931527919614,0,0.04931486107956696,0,-0.3406935598018401,0
0,1.0,0,1.0,0,1.0,0,1.0,0
2,0.964655758491243,0,0.9552479291955066,0,0.829136699724935,0,0.6337680719846325,0
4,0.9360190184244602,0,0.9081407516673601,0,0.6488252958841194,0,0.02739864523304014,0
6,0.9009806189725399,0,0.9140386045866586,0,0.6998006409771116,0,0.2924476797088262,0
8,0.8667365643136057,0,0.9079012065509285,0,0.6752315340550634,0,0.29932261652006875,0
10,0.8380228083730332,0,0.8968064853688364,0,0.6590102707749766,0,0.2402386007481549,0
12,0.8092923810391435,0,0.8864909161970321,0,0.6518030635677694,0,0.1913861085835608,0
14,0.7764247983515642,0,0.8754718408411816,0,0.6116688116688117,0,0.12700434738651298,0
16,0.7420821957161828,0,0.8671281062067401,0,0.6037953920306861,0,0.10650085936710141,0
18,0.7078221198826196,0,0.8417085870620422,0,0.5767936003230121,0,-0.018906076230916995,0
20,0.6781084738616,0,0.8284655244146905,0,0.6180684886567239,0,0.18402588211505408,0
22,0.7487457914729431,0,0.7446953364348122,0,0.5555151790445908,0,0.10310383176625215,0
24,0.734044067680622,0,0.7493954637719531,0,0.5454210513034042,0,0.06747548276210696,0
26,0.7161970716264345,0,0.760404453017638,0,0.5301183536477654,0,0.07240926094429279,0
28,0.7011623125974874,0,0.7621115271631554,0,0.523496605849547,0,0.00915984228086139,0
30,0.6742595300407,0,0.7712470214455918,0,0.5697277109041815,0,0.17496714184612275,0
32,0.6528357831378127,0,0.7860786464440158,0,0.5648825295884119,0,0.10415529269032454,0
34,0.6224476658674737,0,0.7939785922311736,0,0.5754813637166578,0,0.022505307855626325,0
36,0.5890193767414378,0,0.7812095767616022,0,0.5779443308855073,0,0.0006672732787382469,0
38,0.5593453932780004,0,0.7545091216258809,0,0.5680722739546269,0,0.04038014356485694,0
40,0.525309095735207,0,0.7117440145239986,0,0.5580588992353698,0,-0.033019917096350215,0
42,0.5940328022087398,0,0.5846817201860888,0,0.44836601307189544,0,0.06965928621979578,0
44,0.5757751119536222,0,0.5967295787788243,0,0.4529790294496177,0,-0.00851278940450915,0
46,0.5492556559800323,0,0.6048690696824136,0,0.45443258384434854,0,-0.08514811444747751,0
48,0.5303768795349881,0,0.6138684014776151,0,0.46802937391172683,0,-0.01943180669295319,0
50,0.5126483614918074,0,0.6369756798668633,0,0.5044287985464456,0,-0.036861793549691636,0
52,0.4808725869218833,0,0.6172623775483188,0,0.5088803088803089,0,-0.10633909614801335,0
54,0.44648977417337904,0,0.6179557976221995,0,0.5585333232392056,0,0.007178242847032656,0
56,0.4008305285118625,0,0.5972817933103874,0,0.567537285184344,0,0.028086138914164394,0
58,0.36036161910971737,0,0.574593088493009,0,0.567153708330179,0,0.11365888181174805,0
60,0.3220171212622259,0,0.5339006770301449,0,0.5435334494158024,0,0.18689717925386715,0
62,0.28918315188605714,0,0.46923358170379614,0,0.49734272087213266,0,0.2846021635830553,0
64,0.2626504811497733,0,0.259548394417338,0,0.42651222651222653,0,0.3083813567890001,0
66,0.2939581561289457,0,0.3424738706708524,0,0.36244479773891536,0,0.18018400566171267,0
68,0.26610266974194646,0,0.39559741291274253,0,0.40554672319378204,0,-0.004428268122535639,0
70,0.2420333783975857,0,0.42349055057553864,0,0.4734701087642264,0,0.02088767566474573,0
72,0.20759279502943515,0,0.4103256552819698,0,0.4583390112801877,0,0.10472146395713275,0
74,0.14940115068726836,0,0.3959277330206639,0,0.4674035379917733,0,0.23663936912344555,0
76,0.08746555249706627,0,0.3738013288450143,0,0.47134024781083605,0,0.353958143767061,0
78,0.02972528809110298,0,0.3207383032641174,0,0.4538774068185833,0,0.4875745627337984,0
80,-0.03209718749035226,0,0.30233115221201,0,0.4166098871981225,0,0.5469416641391164,0
82,-0.08211926127795398,0,0.23071724850914685,0,0.372649960885255,0,0.5281366899201294,0
84,-0.1278333940033143,0,0.10646141432479796,0,0.23478436419612891,0,0.4341522596299666,0
86,-0.13522468840810478,0,-0.031657778282083285,0,-0.17968052085699143,0,-0.3186937620058639,0
88,-0.11671841347095187,0,-0.0024837046282638023,0,0.06740353799177329,0,-0.359417652411283,0
0,1.0,0,1.0,0,1.0,0,1.0,0
2,0.9683054437608339,0,0.9514227719152263,0,0.8055366290660408,0,0.5551511475078355,0
4,0.9359443298410475,0,0.9159272287151556,0,0.6698008933303051,0,0.13998584571832978,0
6,0.89994745484915,0,0.9256250236393208,0,0.7105508870214753,0,0.32532605398847436,0
8,0.8662065546524834,0,0.9150497371307538,0,0.702798596916244,0,0.36006470528763523,0
10,0.8368668467550445,0,0.9117843589646608,0,0.6980038862391803,0,0.36334041047416843,0
12,0.8091804844475345,0,0.9041365659316414,0,0.684780578898226,0,0.2981902739864523,0
14,0.7848332751106984,0,0.8842366705750343,0,0.6392964392964393,0,0.19263977353149328,0
16,0.7477101277193939,0,0.8676147610222272,0,0.6193807252630782,0,0.11163684157314731,0
18,0.7108372563515083,0,0.8382238359998487,0,0.5867262220203396,0,-0.020806794055201697,0
20,0.6838052374279363,0,0.8265365558455312,0,0.5701718525247937,0,-0.0035790112223233242,0
22,0.7542659573606691,0,0.7322062105223345,0,0.4985035455623691,0,-6.066120715802245e-05,0
24,0.7371468421133228,0,0.7438178448504104,0,0.54529992177051,0,0.17852593266606007,0
26,0.7190772267086103,0,0.7419872158553652,0,0.5297145885381179,0,0.10977656455363462,0
28,0.7053633718998998,0,0.7636874818765208,0,0.5464304640775229,0,0.10043473865129916,0
30,0.6799277329185298,0,0.7524414690419456,0,0.5369520781285487,0,-0.02464867050854312,0
32,0.6567325349659856,0,0.7503864240957172,0,0.5499936911701617,0,-0.012233343443534526,0
34,0.6263007492952111,0,0.7556387659644213,0,0.5664168370050723,0,-0.02938024466686887,0
36,0.5900340415159196,0,0.7498291665090712,0,0.6045322633557928,0,0.12631685370538873,0
38,0.5595691826480664,0,0.7384091682741405,0,0.5885431650137533,0,0.046527145890203216,0
40,0.5278050085725062,0,0.6990834247387067,0,0.5609155373861257,0,-0.04102719644120918,0
42,0.5004680759614427,0,0.6499413744846628,0,0.5591490650314179,0,-0.021494287736325952,0
