missing,correlation,pvalue,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,0.99999999999999978,0.0,1.0,0.0,1.0,0.0,1.0,1.159780625234131e-212
2,0.97576668062274274,0.0,0.77214016653030215,0.0,0.77214016653030215,0.0,0.72253833738771567,5.4523780918172216e-112
4,0.95540803449385936,0.0,0.96240452940396981,0.0,0.96240452940396981,0.0,0.59208513663709583,7.8701670500736869e-76
6,0.95091797024289859,0.0,0.95672490054267778,0.0,0.95672490054267778,0.0,0.43112077510315133,4.7452032602834515e-41
8,0.94562770887512526,0.0,0.94709714880701112,0.0,0.94709714880701112,0.0,0.48508985805134924,1.6773939569547682e-51
10,0.94042465882300941,0.0,0.93094972892133765,0.0,0.93094972892133765,0.0,0.5237041618006113,9.9522368710211195e-60
12,0.93517974440918661,0.0,0.91401944479616171,0.0,0.91401944479616171,0.0,0.47230693322351414,6.4623517897139169e-49
14,0.9309474339914553,0.0,0.88523933874815319,0.0,0.88523933874815319,0.0,0.42222947613870715,1.9105922172997463e-39
16,0.92546038924663954,0.0,0.84319888275417509,0.0,0.84319888275417509,0.0,0.34641139766899903,4.2085966539824335e-27
18,0.92061435805777614,0.0,0.80815558078794869,0.0,0.80815558078794869,0.0,0.23824063227202374,1.2174058705524947e-13
20,0.91311170143743603,0.0,0.74630431098110506,0.0,0.74630431098110506,0.0,0.24185719998991281,5.17471443087926e-14
22,0.90351214614246,0.0,0.69629874237630784,0.0,0.69629874237630784,0.0,0.26791918136851323,7.5192297340002048e-17
24,0.8905640698392554,0.0,0.90341593226476369,0.0,0.90341593226476369,0.0,0.30473492392810503,2.4376596670960855e-21
26,0.8849561923205862,0.0,0.88035013196722789,0.0,0.88035013196722789,0.0,0.32231037721539457,1.1091482597720058e-23
28,0.87970071735011879,0.0,0.86074028671545222,0.0,0.86074028671545222,0.0,0.3256370602828158,3.8655731445547328e-24
30,0.87522809894847264,0.0,0.8371403480870595,0.0,0.8371403480870595,0.0,0.30987417260350525,5.1935216157824969e-22
32,0.86828122679827724,0.0,0.79158598723804274,0.0,0.79158598723804274,0.0,0.28094643614782666,2.2494671356470445e-18
34,0.86106998159276527,0.0,0.7609639958672747,0.0,0.7609639958672747,0.0,0.25726011084221134,1.177068801530572e-15
36,0.85378351499950145,0.0,0.72997932953117561,0.0,0.72997932953117561,0.0,0.28291913797920776,1.303590867605682e-18
38,0.84607146012463852,0.0,0.68221750760804223,0.0,0.68221750760804223,0.0,0.26217208939429515,3.3584728198655343e-16
40,0.83576769400074014,0.0,0.63208465958375271,0.0,0.63208465958375271,0.0,0.27571649025851946,9.384567784123103e-18
42,0.82473165808047821,0.0,0.58692418779049449,0.0,0.58692418779049449,0.0,0.25936813314089102,6.890990312242551e-16
44,0.81314074674104542,0.0,0.80554723786223659,0.0,0.80554723786223659,0.0,0.24531883829971188,2.2551881229207078e-14
46,0.80394691190660916,0.0,0.77082405805613308,0.0,0.77082405805613308,0.0,0.21668161658333945,1.5420912426268949e-11
48,0.79761221866794718,0.0,0.74322433572441937,0.0,0.74322433572441937,0.0,0.23207967446450539,5.0806816687470181e-13
0,0.99999999999999978,0.0,1.0,0.0,1.0,0.0,1.0,1.159780625234131e-212
2,0.96775177204620377,0.0,0.71839649373802972,0.0,0.71839649373802972,0.0,0.7205975697901652,2.1226540994541792e-111
4,0.95657452748287253,0.0,0.95999574878716909,0.0,0.95999574878716909,0.0,0.63053939696625494,9.5379458871306246e-86
6,0.95171438542774789,0.0,0.96004348052040356,0.0,0.96004348052040356,0.0,0.64411753605175048,2.1366118112798079e-89
8,0.94632361802062104,0.0,0.94561581840324993,0.0,0.94561581840324993,0.0,0.55862167556238684,1.0489026374889274e-67
10,0.94049816805494924,0.0,0.92648591566897698,0.0,0.92648591566897698,0.0,0.51269313781197079,2.5555397002389693e-57
12,0.93419033309085142,0.0,0.90956788189202098,0.0,0.90956788189202098,0.0,0.45710155169657546,6.2669102618283614e-46
14,0.92951246400681409,0.0,0.89417125554461396,0.0,0.89417125554461396,0.0,0.43949623718209541,1.3620609312801989e-42
16,0.92500210588876508,0.0,0.86055707753151833,0.0,0.86055707753151833,0.0,0.44275143933699129,3.3646429483721714e-43
18,0.91617773701105176,0.0,0.79502570335668954,0.0,0.79502570335668954,0.0,0.41494215843621662,3.7316054756395961e-38
20,0.90957493252625465,0.0,0.75416961500042601,0.0,0.75416961500042601,0.0,0.38679441669665021,2.2329123884787498e-33
22,0.89608526977764147,0.0,0.6714882657464446,0.0,0.6714882657464446,0.0,0.39176559334611893,3.3829199970876256e-34
24,0.88856348440335853,0.0,0.89437135935266943,0.0,0.89437135935266943,0.0,0.35744185345164164,9.4987956807463158e-29
26,0.88390973286469632,0.0,0.8787802930005969,0.0,0.8787802930005969,0.0,0.3151744117244244,1.026583429857743e-22
28,0.87787793332251907,0.0,0.8451892355811591,0.0,0.8451892355811591,0.0,0.33133265894115305,6.2050932108925351e-25
30,0.87214515450824837,0.0,0.81995478373145547,0.0,0.81995478373145547,0.0,0.32229367711395213,1.1150029648823371e-23
32,0.86733728207074046,0.0,0.80090404253158376,0.0,0.80090404253158376,0.0,0.3113858894513295,3.2797649500914423e-22
34,0.86007768921857597,0.0,0.76046291157538692,0.0,0.76046291157538692,0.0,0.27963959198161564,3.222198092260194e-18
36,0.85402271887413195,0.0,0.72666682745366029,0.0,0.72666682745366029,0.0,0.24877736869616277,9.7240520627539161e-15
38,0.84618388171982872,0.0,0.6853899504972093,0.0,0.6853899504972093,0.0,0.24605490122118567,1.8873181774390856e-14
40,0.83438541775045305,0.0,0.64157885822218697,0.0,0.64157885822218697,0.0,0.24659341558333137,1.6562337669417636e-14
42,0.82340620952986043,0.0,0.61331255429449083,0.0,0.61331255429449083,0.0,0.24428459689629842,2.893814830810789e-14
44,0.81791040726908926,0.0,0.81894762689147849,0.0,0.81894762689147849,0.0,0.24332200019090688,3.6463583255715184e-14
46,0.81064327081739607,0.0,0.782613921458994,0.0,0.782613921458994,0.0,0.19154144806632217,2.5003469060575592e-09
48,0.80335936077417602,0.0,0.74732747135867983,0.0,0.74732747135867983,0.0,0.19303184202528859,1.8803476383927205e-09
0,0.99999999999999978,0.0,1.0,0.0,1.0,0.0,1.0,1.159780625234131e-212
2,0.96186368130466271,0.0,0.97316276298453441,0.0,0.97316276298453441,0.0,0.74718134304919537,1.2699034152190595e-119
4,0.95685943634514958,0.0,0.96570642403312268,0.0,0.96570642403312268,0.0,0.67971138809548948,2.4832963314800959e-99
6,0.95203816378148243,0.0,0.96102404792217766,0.0,0.96102404792217766,0.0,0.61596668584630909,6.4632386538476992e-82
8,0.94666353235176393,0.0,0.95479848530255296,0.0,0.95479848530255296,0.0,0.57123504898863808,1.0313902036249108e-70
10,0.94142369561175654,0.0,0.94082575424589676,0.0,0.94082575424589676,0.0,0.58489620853178637,4.7976464582414069e-74
12,0.93741233227424114,0.0,0.92250537349033368,0.0,0.92250537349033368,0.0,0.50388208573981808,1.990783963312248e-55
14,0.93152711518893139,0.0,0.90166078299067454,0.0,0.90166078299067454,0.0,0.5168376553363897,3.2099185405515238e-58
16,0.92442075617561603,0.0,0.84261360486502224,0.0,0.84261360486502224,0.0,0.47468076092295358,2.1646243494859846e-49
18,0.91704463489892352,0.0,0.79639819672234313,0.0,0.79639819672234313,0.0,0.42042751732015721,4.003112320569028e-39
20,0.90856292451000997,0.0,0.75412406348977534,0.0,0.75412406348977534,0.0,0.40095775167209086,9.6962696960815256e-36
22,0.89163633930531094,0.0,0.91768402269268168,0.0,0.91768402269268168,0.0,0.34725357660114098,3.1638744108218498e-27
24,0.88704684972114867,0.0,0.9090869990535545,0.0,0.9090869990535545,0.0,0.38112119968863184,1.8688591620629131e-32
26,0.88234052693411302,0.0,0.89709461086034925,0.0,0.89709461086034925,0.0,0.40740081685997831,7.6600217704676238e-37
28,0.87615715958933393,0.0,0.86763922582092523,0.0,0.86763922582092523,0.0,0.40395395887157887,2.9931496373022842e-36
30,0.87028052341315154,0.0,0.8427608408914703,0.0,0.8427608408914703,0.0,0.3972291557002407,4.1363715750273914e-35
32,0.86351076625905954,0.0,0.80608939066749574,0.0,0.80608939066749574,0.0,0.39968769639136958,1.5916830162485389e-35
34,0.85772319612225412,0.0,0.77396256241495065,0.0,0.77396256241495065,0.0,0.38378392983722059,6.9211601557196572e-33
36,0.84904139481577978,0.0,0.72962131134658059,0.0,0.72962131134658059,0.0,0.36959453727380936,1.2731636316514865e-30
38,0.84180667398193232,0.0,0.68275906280487297,0.0,0.68275906280487297,0.0,0.36802838738494498,2.2371586677611939e-30
40,0.83290962858658868,0.0,0.63423748341554587,0.0,0.63423748341554587,0.0,0.34568740663020248,5.3756213835187849e-27
42,0.81846080591313952,0.0,0.59983768496945611,0.0,0.59983768496945611,0.0,0.31061871911018318,4.1425235490077974e-22
44,0.81245887640762637,0.0,0.81995921786204862,0.0,0.81995921786204862,0.0,0.32574557583391267,3.7342525398447578e-24
