missing,correlation,pvalue,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,0.99999999999999978,0.0,1.0,0.0,1.0,0.0,1.0,1.159780625234131e-212
2,0.9842676953602536,0.0,0.84055606312765585,0.0,0.84055606312765585,0.0,0.72137496353189012,1.3445387752808501e-109
4,0.95661705403728192,0.0,0.96345266245828431,0.0,0.96345266245828431,0.0,0.57419713589490273,7.1214342188894179e-68
6,0.95188381117004173,0.0,0.96206716097986089,0.0,0.96206716097986089,0.0,0.60255646570562515,7.2131744602949331e-77
8,0.947537706255974,0.0,0.95922917386124196,0.0,0.95922917386124196,0.0,0.63800101328330949,3.7080532535465166e-83
10,0.94401686675742191,0.0,0.94221156601334655,0.0,0.94221156601334655,0.0,0.94221156601334655,0.0
12,0.93820425614684544,0.0,0.92208252034942662,0.0,0.92208252034942662,0.0,0.92208252034942662,0.0
14,0.93226150147431464,0.0,0.89330437836749665,0.0,0.89330437836749665,0.0,0.89330437836749665,0.0
16,0.92780557956465626,0.0,0.8566127879449994,0.0,0.8566127879449994,0.0,0.8566127879449994,0.0
18,0.92196463737895495,0.0,0.81748972103703343,0.0,0.81748972103703343,0.0,0.81748972103703343,0.0
20,0.91003398649326084,0.0,0.73116777441127734,0.0,0.73116777441127734,0.0,0.73116777441127734,0.0
22,0.89113565940349826,0.0,0.91644353204751294,0.0,0.91644353204751294,0.0,0.91644353204751294,0.0
24,0.88851069704128527,0.0,0.91044178025326028,0.0,0.91044178025326028,0.0,0.91044178025326028,0.0
26,0.88377022544802009,0.0,0.89136801826072398,0.0,0.89136801826072398,0.0,0.89136801826072398,0.0
28,0.8777051328963813,0.0,0.85617408776583781,0.0,0.85617408776583781,0.0,0.85617408776583781,0.0
30,0.86712270532991587,0.0,0.80480118513026921,0.0,0.80480118513026921,0.0,0.80480118513026921,0.0
32,0.86350784816287396,0.0,0.6333922273718845,0.0,0.7820231441153167,0.0,0.7820231441153167,0.0
34,0.85826147734970915,0.0,0.63122380210666318,0.0,0.76035946559275536,0.0,0.76035946559275536,0.0
36,0.85153491801856662,0.0,0.62144901303040179,0.0,0.72975759116714412,0.0,0.72975759116714412,0.0
38,0.84352231719913096,0.0,0.61859344259367444,0.0,0.69120999857133603,0.0,0.69120999857133603,0.0
40,0.83572451236819933,0.0,0.62135104891706094,0.0,0.64387987186316942,9.6797848938459128e-292,0.64387987186316942,9.6797848938459128e-292
42,0.81974048847307113,0.0,0.59082256412543899,0.0,0.60734709011555477,2.9828686236608369e-250,0.60734709011555477,2.9828686236608369e-250
44,0.81359014190367052,0.0,0.58676446860423237,0.0,0.82227151079033933,0.0,0.82227151079033933,0.0
46,0.80423352951015648,0.0,0.56810079470088848,6.3048097464655718e-284,0.75662245426786301,0.0,0.75662245426786301,0.0
48,0.79310832251249441,0.0,0.55603214399208223,4.7886978057098898e-261,0.71748879292085666,0.0,0.71748879292085666,0.0
0,0.99999999999999978,0.0,1.0,0.0,1.0,0.0,1.0,1.159780625234131e-212
2,0.97334146341931504,0.0,0.75952988748059769,0.0,0.75952988748059769,0.0,0.79447358824084058,1.9309422896498288e-133
4,0.95672035391429822,0.0,0.96008326148532364,0.0,0.96008326148532364,0.0,0.49085485587389466,2.849186059015999e-51
6,0.95185499930296658,0.0,0.94603781253521857,0.0,0.94603781253521857,0.0,0.43287928005385401,8.3155556506224729e-40
8,0.9439856236184766,0.0,0.92699349069895587,0.0,0.92699349069895587,0.0,0.45775007176138111,2.8155188637390888e-43
10,0.93472082912719545,0.0,0.86438452206039562,0.0,0.86438452206039562,0.0,0.32274023081376141,1.1625479333611177e-22
12,0.92788720896828603,0.0,0.82756268417487866,0.0,0.82756268417487866,0.0,0.82756268417487866,0.0
14,0.92239132955376524,0.0,0.79205202885148951,0.0,0.79205202885148951,0.0,0.79205202885148951,0.0
16,0.9165164605592041,0.0,0.74968071741441722,0.0,0.74968071741441722,0.0,0.74968071741441722,0.0
18,0.91106433594882663,0.0,0.70560065276591544,0.0,0.70560065276591544,0.0,0.70560065276591544,0.0
20,0.9023784198259851,0.0,0.64659533057832286,0.0,0.64659533057832286,0.0,0.64659533057832286,0.0
22,0.88180762523378842,0.0,0.81819848410699003,0.0,0.81819848410699003,0.0,0.81819848410699003,0.0
24,0.87676421354454936,0.0,0.80916845543796923,0.0,0.80916845543796923,0.0,0.80916845543796923,0.0
26,0.87183637108879009,0.0,0.79375684829688375,0.0,0.79375684829688375,0.0,0.79375684829688375,0.0
28,0.86797458348273293,0.0,0.77452295108978753,0.0,0.77452295108978753,0.0,0.77452295108978753,0.0
30,0.86069740001791006,0.0,0.73886039452908714,0.0,0.73886039452908714,0.0,0.73886039452908714,0.0
32,0.85387610727580832,0.0,0.6933672920333479,0.0,0.6933672920333479,0.0,0.6933672920333479,0.0
34,0.84808879826302708,0.0,0.60779476568271051,0.0,0.66047270381152667,0.0,0.66047270381152667,0.0
36,0.83521193926222415,0.0,0.59726147697575782,0.0,0.62324001865569734,1.6237008715955314e-291,0.62324001865569734,1.6237008715955314e-291
38,0.82558674190901404,0.0,0.5937521781069931,0.0,0.60073346587482002,3.1328400470022451e-263,0.60073346587482002,3.1328400470022451e-263
40,0.81234055420172513,0.0,0.56359397790099142,3.6183349253547471e-304,0.53858325007018493,4.7837060549034539e-205,0.53858325007018493,4.7837060549034539e-205
42,0.80589332428373983,0.0,0.58741612879981708,0.0,0.77383497272437707,0.0,0.77383497272437707,0.0
44,0.79827695420610645,0.0,0.5729965937913517,2.2587705139575515e-291,0.74338352908157213,0.0,0.74338352908157213,0.0
46,0.7894961219040969,0.0,0.56045196219671334,6.0717223206085177e-268,0.70052816258336437,2.9077360180538248e-307,0.70052816258336437,2.9077360180538248e-307
48,0.78040436629055321,0.0,0.54548122114493069,9.1272476602782809e-245,0.65370838000214626,4.563245342062664e-259,0.65370838000214626,4.563245342062664e-259
0,0.99999999999999978,0.0,1.0,0.0,1.0,0.0,1.0,1.159780625234131e-212
2,0.97634509841241157,0.0,0.76851316456805674,0.0,0.76851316456805674,0.0,0.61617343130900915,2.695889181138656e-80
4,0.95652588556160822,0.0,0.96874955363183501,0.0,0.96874955363183501,0.0,0.59809336983876404,3.4871277910939648e-74
6,0.95062950841496097,0.0,0.95538820304624372,0.0,0.95538820304624372,0.0,0.50579466969036058,1.9045379707451626e-52
8,0.94443409583112248,0.0,0.94009467343761499,0.0,0.94009467343761499,0.0,0.53692497166423125,7.5032912795682512e-61
10,0.93998255612764225,0.0,0.92055696342653082,0.0,0.92055696342653082,0.0,0.46218709464221824,2.1183239236877386e-44
12,0.93745905696172205,0.0,0.90524060536100981,0.0,0.90524060536100981,0.0,0.90524060536100981,0.0
14,0.93205708951569788,0.0,0.8744724744900737,0.0,0.8744724744900737,0.0,0.8744724744900737,0.0
16,0.92586038890920574,0.0,0.8392656154515592,0.0,0.8392656154515592,0.0,0.8392656154515592,0.0
18,0.91958039606213604,0.0,0.80009525976069507,0.0,0.80009525976069507,0.0,0.80009525976069507,0.0
20,0.91201646644558498,0.0,0.72394591954213794,0.0,0.72394591954213794,0.0,0.72394591954213794,0.0
22,0.90040588339033767,0.0,0.62568448590206804,0.0,0.62568448590206804,0.0,0.62568448590206804,0.0
24,0.88960002489641388,0.0,0.87810305575581238,0.0,0.87810305575581238,0.0,0.87810305575581238,0.0
26,0.88769151052141648,0.0,0.86253180554702968,0.0,0.86253180554702968,0.0,0.86253180554702968,0.0
28,0.88414876957690414,0.0,0.85311675020483202,0.0,0.85311675020483202,0.0,0.85311675020483202,0.0
30,0.87772254678941242,0.0,0.81401652459955054,0.0,0.81401652459955054,0.0,0.81401652459955054,0.0
32,0.87026151478103897,0.0,0.78211936328145881,0.0,0.78211936328145881,0.0,0.78211936328145881,0.0
34,0.86145354819539754,0.0,0.62245904968443455,0.0,0.73645737874090866,0.0,0.73645737874090866,0.0
36,0.85353900752204781,0.0,0.61837124098975105,0.0,0.69762905775979867,0.0,0.69762905775979867,0.0
38,0.84395181241278283,0.0,0.61700962327135678,0.0,0.63401681836960677,4.5224412870947789e-298,0.63401681836960677,4.5224412870947789e-298
40,0.83322804172537723,0.0,0.6165114257142299,0.0,0.60505365083113638,4.6297004333424381e-263,0.60505365083113638,4.6297004333424381e-263
42,0.8191984798810602,0.0,0.59219814958397721,0.0,0.53975164949013132,6.1377015670882917e-202,0.53975164949013132,6.1377015670882917e-202
44,0.80513255793716954,0.0,0.54683431330367172,1.4661156418821482e-271,0.726501008539436,0.0,0.726501008539436,0.0
46,0.79595840030812182,0.0,0.53927038298751306,2.397783073474201e-254,0.69238754077390097,4.0364015770951667e-309,0.69238754077390097,4.0364015770951667e-309
48,0.79213221634186792,0.0,0.54323715939495265,2.8746075431117156e-249,0.66803337353243408,9.6377079851203095e-279,0.66803337353243408,9.6377079851203095e-279
0,0.99999999999999978,0.0,1.0,0.0,1.0,0.0,1.0,1.159780625234131e-212
2,0.97703812921518507,0.0,0.79438290181567517,0.0,0.79438290181567517,0.0,0.68220039500917529,6.6041515011636242e-99
4,0.95498496321639004,0.0,0.95413385145957086,0.0,0.95413385145957086,0.0,0.35884940259550413,4.4850214646533106e-28
6,0.95181356723995381,0.0,0.95243968039227855,0.0,0.95243968039227855,0.0,0.46043582681860667,1.7066392269177894e-44
8,0.94655266020917561,0.0,0.93789394027777362,0.0,0.93789394027777362,0.0,0.5469109382251095,2.3236181347232941e-63
10,0.94182384170507749,0.0,0.93253556716778296,0.0,0.93253556716778296,0.0,0.54879158030197883,6.7338550831127246e-63
12,0.93700103401108936,0.0,0.91540528703538993,0.0,0.91540528703538993,0.0,0.91540528703538993,0.0
14,0.93423989983719846,0.0,0.90428666535504798,0.0,0.90428666535504798,0.0,0.90428666535504798,0.0
16,0.92753569210414133,0.0,0.86739994383605201,0.0,0.86739994383605201,0.0,0.86739994383605201,0.0
18,0.92117658398071078,0.0,0.82623756659206204,0.0,0.82623756659206204,0.0,0.82623756659206204,0.0
20,0.91303811949015234,0.0,0.77422084706969163,0.0,0.77422084706969163,0.0,0.77422084706969163,0.0
22,0.90392145864115769,0.0,0.73290327807191402,0.0,0.73290327807191402,0.0,0.73290327807191402,0.0
24,0.88883916949011688,0.0,0.9048747824031057,0.0,0.9048747824031057,0.0,0.9048747824031057,0.0
26,0.88578841256999052,0.0,0.90278760369644295,0.0,0.90278760369644295,0.0,0.90278760369644295,0.0
28,0.88057833949151376,0.0,0.89251109942677209,0.0,0.89251109942677209,0.0,0.89251109942677209,0.0
30,0.87335113405177922,0.0,0.85390725921621868,0.0,0.85390725921621868,0.0,0.85390725921621868,0.0
32,0.87091450718369379,0.0,0.82971138398462785,0.0,0.82971138398462785,0.0,0.82971138398462785,0.0
34,0.8674448626764113,0.0,0.69667175976986684,0.0,0.79395964366662319,0.0,0.79395964366662319,0.0
36,0.85721481297349988,0.0,0.68279046667335308,0.0,0.76509093112580817,0.0,0.76509093112580817,0.0
38,0.85135980008150669,0.0,0.67739548265225402,0.0,0.73560414593561085,0.0,0.73560414593561085,0.0
40,0.84041386053133416,0.0,0.66234075039333762,0.0,0.70236662678725359,0.0,0.70236662678725359,0.0
42,0.82987208007734259,0.0,0.6454637843868275,0.0,0.67506993408185645,0.0,0.67506993408185645,0.0
44,0.81744458858528912,0.0,0.62259384048362476,0.0,0.63006641822208787,2.052921096330607e-267,0.63006641822208787,2.052921096330607e-267
46,0.81283980769551489,0.0,0.64194205824805439,0.0,0.82360103800205864,0.0,0.82360103800205864,0.0
48,0.80481085265919849,0.0,0.63241041029131984,0.0,0.79788179282622584,0.0,0.79788179282622584,0.0
0,0.99999999999999978,0.0,1.0,0.0,1.0,0.0,1.0,1.159780625234131e-212
2,0.97355320073582585,0.0,0.75567981485655233,0.0,0.75567981485655233,0.0,0.63028798556206389,1.5375922594944345e-83
4,0.95516092190594903,0.0,0.95787880118600177,0.0,0.95787880118600177,0.0,0.59491097130242254,4.5378155766548662e-73
6,0.95030292133424754,0.0,0.95364862644895176,0.0,0.95364862644895176,0.0,0.59628003065346546,4.7558105253172805e-73
8,0.94406390197230716,0.0,0.94373100425909362,0.0,0.94373100425909362,0.0,0.66126495410816644,5.6421724787626516e-92
10,0.93779350693361874,0.0,0.92953181092449289,0.0,0.92953181092449289,0.0,0.71082247771349027,2.9559679222115526e-103
12,0.93361792985251102,0.0,0.91731294208293912,0.0,0.91731294208293912,0.0,0.91731294208293912,0.0
14,0.93002842205370451,0.0,0.90242963602829662,0.0,0.90242963602829662,0.0,0.90242963602829662,0.0
16,0.92575036150239076,0.0,0.87433292022540376,0.0,0.87433292022540376,0.0,0.87433292022540376,0.0
