change,correlation_100,pvalue_100,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,0.99999999999999989,0.0,1.0,0.0,1.0,1.6755356507193322e-308,1.0,1.870483749871107e-154
2,0.96099523593709635,0.0,0.98506266696933809,0.0,0.9798939855326062,2.6196227818490025e-296,0.81686612001925385,1.0072470816636781e-103
4,0.95966751265850347,0.0,0.98307842498383669,0.0,0.97606741850355172,5.1404221599208737e-294,0.78893304096264405,7.0047314154054463e-97
6,0.95695937175320123,0.0,0.97563655957055972,0.0,0.97029921086634929,1.4131912322782051e-290,0.73183176344800238,1.2448374380406576e-83
8,0.9524057311444637,0.0,0.96708668836473821,0.0,0.96205334314935365,1.0747870049018415e-285,0.65590662495823537,1.5119114130816199e-67
10,0.95047408638915598,0.0,0.96550365831842255,0.0,0.95898972904505209,6.8269011923372203e-284,0.62375361659651418,2.9089216559838614e-61
12,0.94604355554336128,0.0,0.95742217216031433,0.0,0.95262660546971145,3.6349690722493238e-280,0.59032057601782384,4.6298550557594498e-55
14,0.94368290811646638,0.0,0.94537018024473429,0.0,0.93332371111783541,5.1622558067528447e-269,0.28116210376028888,9.780961562891017e-14
16,0.91980275604759543,0.0,0.94320977675218598,0.0,0.93592180629340638,1.6790057096956655e-270,0.15760026051244214,3.0127471877628804e-05
18,0.91930750272737205,0.0,0.94353351088965076,0.0,0.93038819150348917,2.4484042203094427e-267,nan,nan
20,0.91804285708210065,0.0,0.9428406207220329,0.0,0.92093513017016326,5.6275333047004094e-262,nan,nan
22,0.91631972443604515,0.0,0.93669299613663481,0.0,0.91660651908744362,1.538524281554977e-259,nan,nan
24,0.91465070373961621,0.0,0.93530385986291709,0.0,0.91338581545277697,9.8346550231501897e-258,nan,nan
26,0.91362509312863172,0.0,0.92786376948727933,0.0,0.90785962492469341,1.1917307720132483e-254,nan,nan
28,0.91199070155484352,0.0,0.92345736191099814,0.0,0.90495844529513059,4.8691847232179307e-253,nan,nan
30,0.91086857966664758,0.0,0.90891156951694152,0.0,0.8680838215147757,5.230959750096363e-233,0.36582238150332153,3.4843726408008375e-22
32,0.89177434029422542,0.0,0.90982459953777095,0.0,0.86514400751718723,1.9044024335854216e-231,0.37118557135716745,8.5960969975834717e-23
34,0.8909744609016349,0.0,0.90452208715921878,0.0,0.86270327173152461,3.7315247724822061e-230,0.39083105309689242,4.3029282922607739e-25
36,0.89120613455507358,0.0,0.90196078234606047,0.0,0.85662011133913651,5.976674206642188e-227,0.36187597169163049,9.6348454820645267e-22
38,0.89063014413406216,0.0,0.89231272839715825,0.0,0.840112056786811,2.2843335512958304e-218,0.29945390819825146,2.225126621062339e-15
40,0.89009189630360641,0.0,0.88498756398403577,0.0,0.83692185286750409,9.9559722946971929e-217,0.28090779211458905,1.0292432539980491e-13
42,0.88942107186850161,0.0,0.87894451412319463,0.0,0.83337365121335438,6.5171529548909581e-215,0.28851072272916961,2.1996636408736929e-14
44,0.88752589772849944,0.0,0.87630727614797777,0.0,0.8319654019269439,3.4093165549099939e-214,0.33012777162742818,2.3269091962062244e-18
46,0.86900070495902781,0.0,0.85789041538632083,0.0,0.8239527862216226,3.9655867080184864e-210,0.35892379144170161,2.0474487702807e-21
48,0.87067860289854171,0.0,0.8619213770660642,0.0,0.82679801240715156,1.4425194507435812e-211,0.32096478241755427,1.9353176041078476e-17
50,0.87043621401964522,0.0,0.86067280934478341,0.0,0.83292697377117064,1.1018496742197452e-214,0.37257419330037445,5.9636534941586979e-23
52,0.87028406283041759,0.0,0.86389814028129797,0.0,0.8368313988170959,1.1078317882582082e-216,0.38473471950544902,2.2914840298938275e-24
54,0.87091817778317249,0.0,0.86846143798743625,0.0,0.84466924072291349,1.0143781346716066e-220,0.39840456564938637,5.1974834783959279e-26
56,0.87087823148164045,0.0,0.86920865463891495,0.0,0.84444135534283649,1.3308927964096108e-220,0.41627137905067096,3.0310180629930617e-28
58,0.87041982231353765,0.0,0.86474571994072913,0.0,0.84133039001120913,5.3834672059684674e-219,0.40254297505680758,1.6101654000685023e-26
