core_number,change_0,change_2,change_4,change_6,change_8,change_10,change_12,change_14,change_16,change_18,change_20,change_22,change_24,change_26,change_28,change_30,change_32,change_34,change_36,change_38,change_40,change_42,change_44,change_46,change_48,change_50,change_52,change_54,change_56,change_58,change_60,change_62,change_64,change_66,change_68,change_70,change_72,change_74,change_76,change_78,change_80,change_82,change_84,change_86,change_88
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,179.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,13.0,191.19999999999999,190.80000000000001,190.40000000000001,189.40000000000001,188.69999999999999,186.5,185.30000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,40.0,39.299999999999997,37.899999999999999,36.299999999999997,35.5,34.399999999999999,35.399999999999999,34.899999999999999,217.0,214.69999999999999,211.5,210.19999999999999,208.09999999999999,204.69999999999999,202.19999999999999,194.40000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,26.0,26.399999999999999,26.699999999999999,27.399999999999999,27.699999999999999,28.399999999999999,27.800000000000001,28.0,30.300000000000001,31.699999999999999,33.0,33.200000000000003,33.5,34.0,34.799999999999997,137.30000000000001,232.30000000000001,230.40000000000001,228.5,227.5,225.90000000000001,223.19999999999999,217.90000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,372.0,373.10000000000002,374.60000000000002,375.89999999999998,377.39999999999998,378.5,380.30000000000001,381.80000000000001,382.69999999999999,383.60000000000002,385.5,353.89999999999998,290.5,226.30000000000001,193.19999999999999,126.5,58.399999999999999,58.100000000000001,57.399999999999999,54.100000000000001,54.0,53.600000000000001,56.200000000000003,271.5,268.0,264.89999999999998,261.69999999999999,259.5,257.19999999999999,253.88888888888889,254.16666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,327.0,326.33333333333331,330.0,333.0,336.25,339.30000000000001,341.5,344.10000000000002,348.39999999999998,350.10000000000002,353.19999999999999,355.89999999999998,358.5,362.0,365.10000000000002,368.30000000000001,370.5,372.80000000000001,374.69999999999999,450.5,574.29999999999995,514.39999999999998,428.5,366.39999999999998,361.80000000000001,358.30000000000001,355.44444444444446,311.5,0,0,0,0,0,0
