change,correlation_100,pvalue_100,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,1.0,0,1.0,0,1.0,0,1.0,0
2,0.9773325491893589,0,1.0,0,1.0,0,1.0,0
4,0.9449434273747346,0,0.991502452185534,0,0.9659827895122013,0,0.9496916388636134,0
6,0.9016682926284737,0,0.981726489907586,0,0.926847856259621,0,0.8529572338489536,0
8,0.8680764073915498,0,0.9632209992813646,0,0.8527670527670528,0,0.6036801132342534,0
10,0.8368278350895785,0,0.9283734886594299,0,0.731041966336084,0,0.2711353755939743,0
12,0.8012710561895472,0,0.9082542204067224,0,0.6903222550281374,0,0.0908098271155596,0
14,0.7515697597757253,0,0.884758626776101,0,0.6923612688318571,0,0.0018400566171266808,0
16,0.7256904084647685,0,0.8792616967358826,0,0.6971660736366618,0,0.010939237690830047,0
18,0.6869828539172567,0,0.5911116154166194,0,0.7235824059353471,0,0.15818420786573653,0
20,0.7551849158001909,0,0.7347428672289673,0,0.6695182577535519,0,0.15660701647962794,0
22,0.7386884211121184,0,0.7458527175763078,0,0.6954500719206601,0,0.14859973713476898,0
24,0.7236188029205486,0,0.767452122495808,0,0.6973376738082621,0,0.18010312405216863,0
26,0.7170511577692978,0,0.7893440246101088,0,0.709238650415121,0,0.22681225356384593,0
28,0.6927640336142373,0,0.7699736500371925,0,0.6851641557523911,0,0.14184612273784247,0
30,0.6726364134167687,0,0.7791545318153738,0,0.718111388699624,0,0.23045192599332726,0
32,0.6473464182730544,0,0.776035402246681,0,0.7443056501880031,0,0.3532302092811647,0
34,0.6298934202518892,0,0.763465587452879,0,0.749009513715396,0,0.3667778788797897,0
36,0.5966127585882115,0,0.673900929182899,0,0.7469906881671587,0,0.4144980285107674,0
38,0.5645219380286903,0,0.5176166521678833,0,0.7476972771090418,0,0.42901627742392073,0
40,0.5381415268003193,0,0.3199742804190779,0,0.7010321245615363,0,0.451420483267617,0
42,0.6004044480968678,0,0.5459863585360011,0,0.5673051202462968,0,0.2534627439086038,0
44,0.5941655388321826,0,0.5722707616273939,0,0.5936911701617584,0,0.3205540390253766,0
46,0.5841678566818344,0,0.6059331543048779,0,0.6430312665606783,0,0.3570316449297341,0
