change,correlation_100,pvalue_100,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999989,0.0
2,0.97679242548399003,0.0,0.97679242548399003,0.0,0.98284816588673762,0.0,0.98695594029671252,0.0
4,0.97428744904198394,0.0,0.97428744904198394,0.0,0.98086466297975106,0.0,0.98509982783321504,0.0
6,0.97096950745941268,0.0,0.97096950745941268,0.0,0.97790262237373737,0.0,0.98509982783321504,0.0
8,0.95236370984883334,0.0,0.95236370984883334,0.0,0.96717496109303902,0.0,0.98509982783321504,0.0
10,0.93833676783135511,0.0,0.93833676783135511,0.0,0.95570363463429453,0.0,0.98324550993571946,0.0
12,0.92773226652508034,0.0,0.92773226652508034,0.0,0.94725300574601534,0.0,0.98139297447626417,0.0
14,0.92252611044164423,0.0,0.92252611044164423,0.0,0.94261318201744415,0.0,0.97954220935391678,0.0
16,0.91811324900643954,0.0,0.91811324900643954,0.0,0.94168985005142813,0.0,0.98139297447626417,0.0
18,0.91302153719276691,0.0,0.91302153719276691,0.0,0.93801179312108807,0.0,0.98139297447626417,0.0
20,0.90301605269933094,0.0,0.90301605269933094,0.0,0.93253996418389995,0.0,0.97769320249437375,0.0
22,0.88810882493285837,0.0,0.88810882493285837,0.0,0.92184308362090484,0.0,0.97019893357575504,0.0
24,0.87602447866109412,0.0,0.87602447866109412,0.0,0.91215467488945712,0.0,0.96469543932292823,0.0
26,0.86235056292503076,0.0,0.86235056292503076,0.0,0.90177537504117289,0.0,0.95920705468040013,0.0
28,0.85852414236253449,0.0,0.85852414236253449,0.0,0.89921065579731652,0.0,0.96286431478401369,0.0
30,0.83801865890803162,0.0,0.83801865890803162,0.0,0.88808588003836786,0.0,0.95489407731093434,0.0
32,0.81512318459073163,0.0,0.81512318459073163,0.0,0.8651038812240317,0.0,0.91335249874622992,0.0
34,0.80190839101834899,0.0,0.80190839101834899,0.0,0.85578509185062324,0.0,0.90988328686466069,0.0
36,0.77529751105985922,0.0,0.77529751105985922,0.0,0.83296221441039409,0.0,0.87909479955117042,0.0
38,0.76047764251752159,0.0,0.76047764251752159,0.0,0.82051666447021698,0.0,0.86519225274366995,0.0
40,0.73974340442767317,0.0,0.73974340442767317,0.0,0.80404767834003377,0.0,0.85701491459355383,0.0
42,0.7260054771090676,0.0,0.7260054771090676,0.0,0.79037334009294613,0.0,0.83636037226819382,0.0
44,0.70275038207009477,0.0,0.70275038207009477,0.0,0.76918034635956622,0.0,0.82016178019191432,0.0
46,0.68029249397784763,0.0,0.68029249397784763,0.0,0.7527141503277136,0.0,0.81228088740322713,0.0
48,0.67176615850963861,0.0,0.67176615850963861,0.0,0.74498137448563606,0.0,0.79972927410960726,0.0
0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999989,0.0
2,0.99386557594736624,0.0,0.99386557594736624,0.0,0.99795445769004021,0.0,0.99813098363657382,0.0
4,0.97691654502267544,0.0,0.97691654502267544,0.0,0.98285058476443488,0.0,0.97927535698315982,0.0
6,0.95413455987441642,0.0,0.95413455987441642,0.0,0.96820490833265738,0.0,0.97193978322712649,0.0
8,0.94472594027676071,0.0,0.94472594027676071,0.0,0.9615020405408834,0.0,0.968282613964487,0.0
10,0.92354154341135519,0.0,0.92354154341135519,0.0,0.94095493091818727,0.0,0.96463239473237605,0.0
12,0.90547615806651993,0.0,0.90547615806651993,0.0,0.93096364365415485,0.0,0.96280986143175729,0.0
14,0.88814982603688541,0.0,0.88814982603688541,0.0,0.92115150602937435,0.0,0.95735242363728645,0.0
16,0.87742388616575318,0.0,0.87742388616575318,0.0,0.91325218900036531,0.0,0.95372248137426852,0.0
18,0.87020590087394523,0.0,0.87020590087394523,0.0,0.90718609988476184,0.0,0.9500991083156759,0.0
20,0.86375059330644677,0.0,0.86375059330644677,0.0,0.90033468741204092,0.0,0.94828985575678204,0.0
22,0.83468560460554053,0.0,0.83468560460554053,0.0,0.87700712185333229,0.0,0.94287169296032436,0.0
24,0.82993557409226348,0.0,0.82993557409226348,0.0,0.87375405843557585,0.0,0.9410687979405965,0.0
26,0.82349248276642972,0.0,0.82349248276642972,0.0,0.87052012693751002,0.0,0.93926746306948949,0.0
28,0.7876364533591198,0.0,0.7876364533591198,0.0,0.84028072981417246,0.0,0.90282360246833893,0.0
30,0.77260969646575106,0.0,0.77260969646575106,0.0,0.83131582736525345,0.0,0.89764342656644314,0.0
32,0.76361464073798668,0.0,0.76361464073798668,0.0,0.82616830509674566,0.0,0.89070399930514121,0.0
34,0.76115197223046971,0.0,0.76115197223046971,0.0,0.82324891972761449,0.0,0.88897250734097411,0.0
36,0.74058600537763897,0.0,0.74058600537763897,0.0,0.80676382622397047,0.0,0.8768884955138917,0.0
38,0.72595166243409803,0.0,0.72595166243409803,0.0,0.79282827554952007,0.0,0.8768884955138917,0.0
40,0.71401617228555059,0.0,0.71401617228555059,0.0,0.78803457638761676,0.0,0.87516727864659749,0.0
42,0.69963998033421215,0.0,0.69963998033421215,0.0,0.77541332043425004,0.0,0.86881985831724817,0.0
44,0.69258922726538541,0.0,0.69258922726538541,0.0,0.76749302770009764,0.0,0.85857948637828718,0.0
46,0.69013108263693768,0.0,0.69013108263693768,0.0,0.76553093141662321,0.0,0.85517530588572144,0.0
48,0.68124925652872315,0.0,0.68124925652872315,0.0,0.75775274388249836,0.0,0.84838033000865332,0.0
0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999989,0.0
2,0.97096950745941268,0.0,0.97096950745941268,0.0,0.98284816588673762,0.0,0.99626384752554953,0.0
4,0.95874594021015158,0.0,0.95874594021015158,0.0,0.96911009760082656,0.0,0.99253516677669462,0.0
6,0.93428293907623627,0.0,0.93428293907623627,0.0,0.94985118365804833,0.0,0.97991199916632932,0.0
8,0.90642313829511256,0.0,0.90642313829511256,0.0,0.93241035557425223,0.0,0.9743974905534305,0.0
10,0.87384622554328151,0.0,0.87384622554328151,0.0,0.90904043456788675,0.0,0.95559438034292921,0.0
