change,correlation_100,pvalue_100,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,0.99999999999999978,0.0,1.0,0.0,1.0000000000000002,0.0,0.99999999999999978,1.7686653331248945e-198
2,0.97221473011606585,0.0,0.96718911935410834,0.0,0.92443758913462259,0.0,0.5993124656401202,1.5256690934751042e-72
4,0.95731643623240614,0.0,0.78751645806497972,0.0,0.8513848330870637,2.2960150048753533e-288,0.56181243085508337,5.6659703605798717e-64
6,0.95204309970774736,0.0,0.79197280754812882,0.0,0.85473588331920913,1.2694041951242789e-290,0.42441618430240702,2.8614834625554955e-37
8,0.94816583947267996,0.0,0.7977710673354409,0.0,0.85965692528463489,5.9235218361898844e-294,0.5758703144849594,4.0280211639015543e-67
10,0.94223652192934448,0.0,0.79786114367006455,0.0,0.84683589009843141,2.5770386872126155e-285,0.54441918498842712,3.4789392980018293e-60
12,0.93505815237265144,0.0,0.79714535169006961,0.0,0.83747585803984292,4.3237688012557837e-279,0.49645053591358085,2.3772217524310901e-50
14,0.93090256961190132,0.0,0.80327712806708573,0.0,0.83018382100783661,2.73808265518407e-274,0.47651790500964863,1.5787134042034315e-46
16,0.92440281298906668,0.0,0.81067740521078313,0.0,0.82124869466046124,1.8356764182923112e-268,0.44011111889586652,6.0138287417419785e-40
18,0.9173082194894967,0.0,0.81190422764209069,0.0,0.81632836620112892,2.7882498509372857e-265,0.4201494912893573,1.4717928981219083e-36
20,0.91042522273413284,0.0,0.8511192119541191,0.0,0.83712398539691224,7.3879269040842813e-279,0.35012417543489238,6.7194928091491254e-26
22,0.89773171973785881,0.0,0.86465266420246778,0.0,0.83680227998942791,1.2054537379736917e-278,0.30427605536153979,5.9285780982307272e-20
24,0.88541174021767266,0.0,0.74410514834102603,0.0,0.79008474043318633,1.2368892031025902e-248,0.3772406336628466,8.4367673430941703e-30
26,0.88003214028415244,0.0,0.74444693025862707,0.0,0.78468418386737748,2.8227655370251855e-245,0.371861938616103,5.2813962099201459e-29
28,0.87381141884141844,0.0,0.74522101010983999,0.0,0.78248460431881428,6.4848053017697642e-244,0.38032494619386753,2.9128213052819079e-30
30,0.86711285079902123,0.0,0.74013167020024995,0.0,0.78056707955776761,9.895915118769534e-243,0.3479430948816733,1.3448967645795557e-25
32,0.86103905685952198,0.0,0.74278564994798368,0.0,0.78850655506723832,1.1915316264510701e-247,0.39151864362231159,5.7145213463063151e-32
34,0.85248575725367337,0.0,0.74484092839529781,0.0,0.79303962490342117,1.7583256706749611e-250,0.36557964126987047,4.3539307844443514e-28
36,0.84547326991254745,0.0,0.75031499966421733,0.0,0.79873803748352257,4.6060337351200997e-254,0.41271000459483803,2.4605060704790047e-35
38,0.83948083264675577,0.0,0.74890069549897309,0.0,0.79912294830390329,2.6330920075678594e-254,0.50195451898928811,1.9647007493191041e-51
40,0.83071481999502983,0.0,0.74999463671030908,0.0,0.7959255831054739,2.7183920889778131e-252,0.52079258621155078,3.146233149774227e-55
42,0.81657189277721276,0.0,0.73038153130528227,0.0,0.7907568977578342,4.7069521258193698e-249,0.59599299352285973,9.2096068106095392e-72
44,0.80826329146989517,0.0,0.70347538060699499,0.0,0.76691386283954932,2.1820753858699765e-234,0.3738341034180821,2.7038560815346367e-29
46,0.80071473321208242,0.0,0.70200310562625023,0.0,0.76927849679094107,8.0237119354304664e-236,0.40085266887099752,1.9768221118232869e-33
48,0.79303205588793235,0.0,0.70069226514034599,0.0,0.76667622023040349,3.0394205760486393e-234,0.42596391147696522,1.5733706304253632e-37
50,0.78276229848474965,0.0,0.6934233673154353,0.0,0.75976435476439252,4.4593806330958072e-230,0.44578332858968461,6.1357971289467079e-41
52,0.76988575668638382,0.0,0.6830595589032461,0.0,0.76237373187522728,1.2043784597530472e-231,0.53156844321663588,1.8378660419396808e-57
54,0.76008397992108712,0.0,0.68435103038663492,0.0,0.77657538390427461,2.8181446942438052e-240,0.57306473056243079,1.7360357567326518e-66
56,0.74796431490154547,0.0,0.68013161385835341,0.0,0.77712781003409093,1.2912890969266243e-240,0.66300096288673982,2.3351364136104529e-88
58,0.73416196851392435,0.0,0.67254773463345419,0.0,0.76987379680207113,3.4877451331751625e-236,0.67994576738208179,7.8204755493388453e-93
60,0.71943506758625597,0.0,0.64036777448118054,0.0,0.75083232852152426,9.5002218301273583e-225,0.70984589506994833,5.2789805526699266e-101
62,0.70063671466095989,0.0,0.60765217257113491,2.2488423621220658e-294,0.72442279246357222,2.3154708027460558e-209,0.73793302852297882,5.35155528587288e-109
64,0.68433026226171234,0.0,0.62785117473232199,0.0,0.69879171586599698,5.919556344639355e-195,0.78304819159934935,1.7432208214665882e-122
66,0.66921768329080877,0.0,0.62970913398558759,0.0,0.74069247289837492,8.9229437269898447e-219,0.57269718348195131,2.1011125485468582e-66
68,0.64954397539135433,0.0,0.61724318313291116,1.135527285899315e-303,0.72975086699759073,2.0166500396499436e-212,0.64048731593753172,1.3812415753264345e-82
70,0.63347017654239257,0.0,0.60226579667373903,3.2309860913311108e-289,0.70751192850463229,8.4846056301738564e-200,0.63475006748266982,3.7970688638280943e-81
72,0.6122244322458521,0.0,0.59157505418632217,4.0714834910898606e-279,0.69745982405934426,3.2122884164750098e-194,0.67930040058591623,1.1634065578481839e-92
74,0.57494997452003571,0.0,0.56455738755614004,2.1407091749196078e-254,0.68235887042056587,5.4582147323264387e-186,0.7105724716101347,3.3086118537975382e-101
76,0.53828646387210832,0.0,0.53623242543496652,1.0209166125180128e-229,0.66661768837806368,1.333220869530508e-177,0.77241307115757241,3.1082258239229833e-119
78,0.51020375412202001,0.0,0.52384521323529931,2.5296566741442367e-219,0.65246371462378594,3.1641474874974688e-170,0.76449698730717364,7.6507851653698147e-117
80,0.48244129095045718,0.0,0.48198709494617276,5.4001355242966262e-186,0.61653729719733563,3.2499818232105397e-152,0.74389597223603243,9.8079081068018897e-111
82,0.43843842507154229,0.0,0.53156181026881866,9.0481899805570579e-226,0.57780594939157126,6.1739232865676005e-134,0.70497956327625466,1.1917835353414909e-99
84,0.40202668349401044,0.0,0.53194967190692577,4.266345811600623e-226,0.51351608631362389,3.3305998543922222e-106,0.64867582811783098,1.1584695728856865e-84
86,0.36650500454567358,1.5453182735461403e-254,0.50093348012972849,9.7572297487795979e-201,0.56537039114070631,2.5626958125746106e-128,0.57207690265632694,2.8987960534620826e-66
88,0.33566516450890871,1.9741785415637981e-196,0.4517648429638888,1.1915015303001506e-163,0.52751763808167362,5.7559265612688942e-112,0.40429630594297061,5.6024303075473664e-34
0,0.99999999999999978,0.0,1.0,0.0,1.0000000000000002,0.0,0.99999999999999978,1.7686653331248945e-198
2,0.9788448402639881,0.0,0.9718416902704361,0.0,0.92926876166554007,0.0,0.6460080160463918,5.5367039156337858e-84
4,0.95516541585679293,0.0,0.784363467390777,0.0,0.85386715336335794,4.8938924284429847e-290,0.56511016849571882,1.051241569976189e-64
6,0.95010494411886015,0.0,0.79925751775957654,0.0,0.88412999136044312,0.0,0.68584211836962161,2.0401602584709703e-94
8,0.94513086815311309,0.0,0.80001724442008193,0.0,0.87747560419665926,3.5603463816297701e-306,0.63934307430695725,2.6811981982179354e-82
10,0.93942815129899226,0.0,0.79607704184572436,0.0,0.86031599307299245,2.113545434056798e-294,0.57862456736216206,9.5332020882213083e-68
12,0.9343837444741202,0.0,0.79707527398454547,0.0,0.84757806372708133,8.2147490665651561e-286,0.55403704237539442,2.8929330584292441e-62
14,0.92781389246955959,0.0,0.79974884618685238,0.0,0.83474226098840187,2.7590856988183493e-277,0.52091741555197102,2.9660449688030352e-55
16,0.9216800589809897,0.0,0.80379544507621636,0.0,0.83722097235986703,6.3738820452112726e-279,0.521216876265435,2.5745889826957306e-55
18,0.91787911061720528,0.0,0.83139725650255514,0.0,0.8573098722244944,2.3102874262159366e-292,0.52326483898416698,9.7585770360056561e-56
20,0.90956856080893,0.0,0.84390518360057909,0.0,0.8601497856377367,2.7410326602243399e-294,0.53679220574441766,1.4630819554338485e-58
22,0.89894815057761457,0.0,0.85262495060045851,0.0,0.85762254697823792,1.4189009422994078e-292,0.51270441675583123,1.394398480592752e-53
24,0.88641113710787522,0.0,0.74707707045869487,0.0,0.81111300686126364,6.2632368038609455e-262,0.50885835471121244,8.2871203686760053e-53
26,0.88213855940208519,0.0,0.74802703136372362,0.0,0.80388979141937111,2.5300321501177194e-257,0.49316778298919794,1.0380938949129408e-49
28,0.87649350109362023,0.0,0.74868657900497704,0.0,0.79781487762014747,1.7592301004042238e-253,0.44586804814598874,5.9288460350686731e-41
30,0.87030651306695594,0.0,0.75203439187431809,0.0,0.80523513688921255,3.5342811075040914e-258,0.40701797418868413,2.0526698325389149e-34
32,0.86441501297679257,0.0,0.75520337764095569,0.0,0.80463581935613226,8.4972878764889935e-258,0.40444820681429799,5.2980426555841576e-34
34,0.85789295204193217,0.0,0.75213421641096112,0.0,0.80044537526484172,3.8475584541041345e-255,0.41652385768211353,5.8433015651020783e-36
36,0.84913723011435416,0.0,0.75220212606402193,0.0,0.79848372534554379,6.6638057983168642e-254,0.43147291138951538,1.8393122147422333e-38
38,0.84123228404889727,0.0,0.75353856875082914,0.0,0.7904092865026271,7.7585207670785409e-249,0.46211026738850058,7.3193698714123761e-44
40,0.83388445060322958,0.0,0.75913282038696817,0.0,0.78698255378822679,1.0574032527904456e-246,0.48737303059173837,1.3677073588862222e-48
42,0.82068437119466076,0.0,0.75858326331320181,0.0,0.80600168705602004,1.1497442836693136e-258,0.54870581505884941,4.1573845212629892e-61
44,0.81262925560815324,0.0,0.69937256402831416,0.0,0.76528746921279855,2.1035629099632371e-233,0.35252820596095352,3.1119738420472679e-26
46,0.80498629040718761,0.0,0.69658449751347828,0.0,0.75852212809065178,2.4779825318070708e-229,0.35326279895270096,2.4571754713854504e-26
48,0.79742292386807745,0.0,0.69494787582998074,0.0,0.75674713295250939,2.859251491397392e-228,0.38372527284163399,8.9296798358206886e-31
50,0.78756255260227137,0.0,0.68965962768757616,0.0,0.75801397450206498,4.9937895467597274e-229,0.44769110877974783,2.8290735370228095e-41
52,0.7785810488637287,0.0,0.69233768806855578,0.0,0.76141218306263991,4.5643614487466796e-231,0.50050838599567926,3.792571085346327e-51
54,0.76389205663024229,0.0,0.68612231267675516,0.0,0.75740241403127606,1.1599051103669318e-228,0.55093493463810761,1.3683581765660732e-61
56,0.74989729186458121,0.0,0.68234704522633405,0.0,0.76966197387145507,4.6916468346025258e-236,0.6231262585051256,2.8561425216926948e-78
58,0.73790033153024681,0.0,0.67543431340340832,0.0,0.76924528203149833,8.4053428824457233e-236,0.67439603659238723,2.3511420849093888e-91
60,0.71746001587929664,0.0,0.65491096161127793,0.0,0.76639892757100148,4.473716071851433e-234,0.70675881644196936,3.8224788633604151e-100
62,0.70155469554811511,0.0,0.62609508340611419,0.0,0.74656809421586501,3.1579924921840236e-222,0.73060424554513015,6.9848614442637702e-107
64,0.68637150290012994,0.0,0.60878325931256638,1.8328837929498106e-295,0.69060714519380895,1.8361040634072152e-190,0.72102474847838061,3.7832342096863571e-104
66,0.67536182593933625,0.0,0.63991815883779835,0.0,0.73811983185786434,2.8379498774405071e-217,0.4849393491839098,4.0027459430841909e-48
68,0.65406460916553644,0.0,0.62391938784373957,3.1477349690977384e-310,0.72663035759337213,1.2575060648204477e-210,0.58068559894167326,3.2282483109397358e-68
70,0.63236150805510827,0.0,0.5970570555099658,2.8380556845938548e-284,0.70604135418272251,5.6190941622859728e-199,0.66509905397863112,6.6116182530769873e-89
72,0.61418153259676811,0.0,0.59604910574924419,2.539383043567557e-283,0.70592117710118762,6.5567238975362505e-199,0.70170862454954541,9.5686523120995578e-99
74,0.57655232267287115,0.0,0.57146389280736143,1.3211231386701677e-260,0.69316080731372609,7.3814308939956551e-192,0.72342069461017433,7.8976963312266584e-105
