change,correlation_100,pvalue_100,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,1.0,0,1.0,0,1.0,0,1.0,0
2,0.9363803454265915,0,0.9324890406509507,0,0.7761702516326437,0,0.1569734751252903,0
4,0.8630065258429892,0,0.4961202040724736,0,0.6024356456744455,0,0.16430754186529764,0
6,0.8517471636462823,0,0.5204281657742743,0,0.6427942945000076,0,0.3594426109277594,0
8,0.8432510629049565,0,0.5469937952170609,0,0.6521410847756922,0,0.3785111844517785,0
10,0.8309678584801506,0,0.5622011043403053,0,0.6540104428308292,0,0.40112455690013443,0
12,0.8190584336258876,0,0.5838041245033777,0,0.6693793670365804,0,0.42442244224422443,0
14,0.8064666440014542,0,0.5926644054491337,0,0.6555022758064271,0,0.3831560933871165,0
16,0.7942347331856898,0,0.6093489351764868,0,0.6313772054010443,0,0.26380638063806383,0
18,0.7786672109707512,0,0.6403675251838729,0,0.6563486626782968,0,0.3632807725216966,0
20,0.761733904241222,0,0.7144689270221073,0,0.7125694539586853,0,0.39586847573646256,0
22,0.7306783179083539,0,0.7351910916447277,0,0.76002192081107,0,0.4616795012834617,0
24,0.6987257562081212,0,0.37995072381527595,0,0.5137903213530012,0,0.33709815425987044,0
26,0.6909163553351874,0,0.39934780177859797,0,0.5160737391727939,0,0.325314753697592,0
28,0.677315228432392,0,0.3805516528972769,0,0.5052655614924418,0,0.2744407774110744,0
30,0.6598165791113881,0,0.39703384447803225,0,0.5112268042806473,0,0.29563623028969566,0
32,0.6516975123837602,0,0.4095696815304066,0,0.516292947283494,0,0.33164649798313167,0
34,0.6421897360380752,0,0.4450807869280429,0,0.5772815149716095,0,0.48150592837061484,0
36,0.6270256150199759,0,0.4709709416558715,0,0.564141206557976,0,0.448307052927515,0
38,0.6067219122939657,0,0.4922560018742902,0,0.5966997001111264,0,0.47649431609827647,0
40,0.5834799307013792,0,0.45805324840202305,0,0.6097364935835959,0,0.5103777044371104,0
42,0.5636355603690394,0,0.3785404421468838,0,0.6285518564186875,0,0.5603226989365603,0
44,0.5273566382160835,0,0.20565238458548443,0,0.3907658583367585,0,0.40801857963574134,0
46,0.5140381351503357,0,0.19739911807952193,0,0.3804021859919928,0,0.4760298252047427,0
48,0.4975968077451169,0,0.2145491776779948,0,0.36137979327457337,0,0.48954895489548955,0
50,0.4735984950202659,0,0.2506688188548726,0,0.3187255484008464,0,0.469355824471336,0
52,0.45789480737847305,0,0.2778581974713817,0,0.28590522293769316,0,0.4947316953917614,0
54,0.4166175140576462,0,0.2278989313351047,0,0.23422082172595943,0,0.44952939738418285,0
56,0.3912609499030392,0,0.2026659952488569,0,0.26257173737650513,0,0.4392128101699059,0
58,0.36420279989345017,0,0.1874039179054807,0,0.2872326498302659,0,0.38667644542232,0
60,0.3259979092477541,0,0.2310815734605376,0,0.29045379123472015,0,0.45505439432832173,0
62,0.28143318123052075,0,0.223780665449088,0,0.20573594556331917,0,0.41520596504094853,0
64,0.2646091684853074,0,0.2523149081377208,0,0.1264861244310484,0,0.30292140325143624,0
66,0.24668878806736333,0,0.2736593005946155,0,0.11019774398319404,0,0.34008067473414005,0
68,0.2236327388537495,0,0.23731602251886652,0,0.0846295535157023,0,0.31450922870064785,0
70,0.20796267720373698,0,0.20796267720373698,0,0.09601619704373507,0,0.299352157437966,0
72,0.1893352722848033,0,0.1893352722848033,0,0.21156931695361617,0,0.288962229556289,0
74,0.17480248532178078,0,0.17480248532178078,0,0.27431763864151865,0,0.29006233956729005,0
76,0.131901224653684,0,0.131901224653684,0,0.25992297270554565,0,0.2647353624251314,0
78,0.08043896627565983,0,0.08043896627565983,0,0.19037311047175412,0,0.23246546876909913,0
