change,correlation_100,pvalue_100,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,0.99999999999999989,0.0,1.0,0.0,1.0,1.6755356507193322e-308,1.0,1.870483749871107e-154
2,0.96162453467892106,0.0,0.98487849686218021,0.0,0.97696213687027034,1.4986965940689862e-294,0.77474122400046164,1.701811113888317e-93
4,0.96045376324421505,0.0,0.98262680617482712,0.0,0.97300806328653144,3.4484633124298644e-292,0.73114599642281186,1.7710085581604549e-83
6,0.95643242064999823,0.0,0.97834521249300344,0.0,0.96715773693642981,1.0344120825224749e-288,0.68576859789714184,1.1538422444161133e-73
8,0.95236068955551911,0.0,0.97522853135711718,0.0,0.96245542684895236,6.2269389113335324e-286,0.63819654717551377,4.7830520438475797e-64
10,0.95021650660061285,0.0,0.96773715352444323,0.0,0.95249926187638956,4.3134122109453399e-280,0.51857398407278921,6.7731626123116823e-43
12,0.94631265446147572,0.0,0.95756276751744418,0.0,0.9467841149969346,9.1218070446823875e-277,0.45423230585458235,2.5974975035942987e-33
14,0.94220507397817665,0.0,0.94772285045511584,0.0,0.93771078541407582,1.5783414637243963e-271,0.33274754007900714,1.256353134782284e-18
16,0.91380905727201911,0.0,0.94539615908882779,0.0,0.93538843060773469,3.3948778752489132e-270,0.27081222738747507,7.5100965518531359e-13
18,0.91578859508094057,0.0,0.94184798816723403,0.0,0.93134883238955868,6.9339805255144942e-268,nan,nan
20,0.91626148959163212,0.0,0.9384155572159546,0.0,0.92382632610739623,1.3071897942036101e-263,nan,nan
22,0.91391117343223827,0.0,0.93486783261679751,0.0,0.92156518851265135,2.4812582106845864e-262,nan,nan
24,0.91147886577566406,0.0,0.92538799755418955,0.0,0.87459235560822435,1.7516294092417296e-236,0.29552150986933928,5.1172720771617195e-15
26,0.90876567048894896,0.0,0.92327849429365305,0.0,0.87240261841936673,2.6032349900928172e-235,0.32432964747524923,8.9505347653001851e-18
28,0.90637031811999103,0.0,0.91858467285369272,0.0,0.86652747871153646,3.5134189175325477e-232,0.30054556550354067,1.762489726058166e-15
30,0.90390607195119022,0.0,0.91269378900726617,0.0,0.86483827777879863,2.7657436676248955e-231,0.3009554663565514,1.6144501199746419e-15
32,0.88445540625136954,0.0,0.89990210483818422,0.0,0.85770353291227586,1.6120405673851237e-227,0.29613061363652732,4.5011088175811273e-15
