change,correlation_100,pvalue_100,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,1.0000000000000002,0.0,1.0,0.0,1.0000000000000002,1.7241119404693729e-175,1.0,6.8075612715348053e-88
2,0.9774929394255536,0.0,1.0000000000000002,0.0,1.0000000000000002,1.2160463485835468e-168,1.0,1.823493085931439e-84
4,0.9467154271133017,0.0,0.98107468849533663,1.9820408705660261e-306,0.97302295206603318,5.6621628066303386e-151,1.0,1.4402348140197234e-79
6,0.90270307608327316,0.0,0.97632071601647197,1.4196348903786874e-288,0.98617846985910529,2.0479951723918993e-147,1.0,1.1937950949592724e-75
8,0.79802575119757624,0.0,0.95597705152195667,6.5534298288372579e-263,0.98606120725823176,9.0722676172340574e-140,1.0000000000000002,9.9057909212258246e-72
10,0.78525946823950654,0.0,0.93216039765584136,2.4839256776537154e-237,0.84105197286055489,5.0216986998072293e-97,0.93745095774079668,3.0181544101994854e-60
12,0.74986311865663713,0.0,0.91861058988707378,1.4159199853426568e-218,0.69820427873250657,4.1611541358045669e-64,0.87423435890252821,5.2421429375579425e-50
14,0.69610046308871698,0.0,0.89620851004833135,9.3921829147377909e-197,0.83934069735610539,1.236465874745841e-86,0.81199794294115013,8.5693560080852438e-41
16,0.6601974504346998,0.0,0.89391438556140168,1.4995708246033339e-187,0.91844157060666187,3.1841455622582911e-99,0.87154802483624483,7.2505250100730359e-45
18,0.63006454117193567,0.0,0.86429131818135219,3.9253008738376614e-164,0.90774136685833495,1.6305506946544763e-90,0.86950788153067127,1.0729721927260428e-41
20,0.5894161937705793,0.0,0.8488622972303943,7.0483838667591774e-149,0.89566112137110721,4.5964833268263043e-83,0.86772183127462454,2.5853855011245755e-39
22,0.53893763901904013,1.3553845966480611e-280,0.77407176280596823,4.2451401131594672e-117,0.7755949485144249,3.2565034896801715e-59,nan,nan
24,0.50773470357635109,2.0751022662199408e-234,0.73690378246980504,6.3130650696331896e-100,0.76044698927287013,1.3684870822067355e-53,nan,nan
26,0.48865398001425475,9.8969050271137218e-204,0.72036817436008538,9.8567196802084289e-90,0.74243837419824543,6.3970917676504371e-48,nan,nan
28,0.4617441106558664,7.6322639490247563e-168,0.7239704348337157,2.0009333903476169e-83,0.74684961110658787,1.2262532209747499e-44,nan,nan
30,0.35897731911891956,2.2956990248280272e-96,0.65180156085400265,5.0896902562517166e-64,0.70648678322043945,6.3984290878382638e-38,0.75385221814477743,1.0779409551176305e-21
32,0.31506003750307804,6.7382586115801568e-70,0.57831597935030155,1.6814606516127356e-47,0.67991810516973972,5.6347322757123355e-33,0.77238633908336207,3.1842545149900944e-21
34,0.18484231618886102,2.0236379971290121e-23,0.37080311155645229,4.4215395098659955e-19,0.48370242303844035,3.27909963372222e-16,0.63629847266748729,6.7395072211375695e-14
36,0.18947591518764118,8.9725732629272072e-23,0.38054031870346255,1.3996575728924597e-18,0.50161431946304869,4.5194873799931849e-16,0.62673712731843234,1.4924088355387001e-12
38,0.19570595278245101,3.3349508695220805e-22,0.39794208845012996,1.8938263103798306e-18,0.52143649841815676,9.2253896691822079e-16,0.63296321342694106,1.4047966687183284e-11
40,0.15022605976913292,2.1621933208726583e-12,0.3154114317304188,5.8344349975604653e-11,0.4577697258105568,3.0787262133473909e-11,0.58033925491358129,5.9444639816064223e-09
42,0.1573945790629217,2.1328941017276888e-12,0.32851708307618721,7.4954210572108366e-11,0.45235167397028508,3.4385183363164465e-10,0.66839980546776667,1.6022117185305968e-10
44,0.16389312083238813,8.8516128723852289e-12,0.35794394512568256,3.846861240162553e-11,0.5103103630798288,5.1197417954124761e-11,0.61788114426136598,4.7382367985725462e-08
46,0.1655452333767134,3.7316100545138246e-11,0.36623050171241606,8.5991831369568306e-11,0.50528095788851657,4.5920029776180019e-10,0.60807704176625998,2.7744026801382828e-07
48,nan,nan,nan,nan,nan,nan,nan,nan
0,1.0000000000000002,0.0,1.0,0.0,1.0000000000000002,1.7241119404693729e-175,1.0,6.8075612715348053e-88
2,0.89568001900484639,0.0,0.96172749393369727,6.3591848350236248e-310,0.90240359460554176,6.5570323748160322e-137,0.96541958554434926,2.135911170466431e-78
4,0.84887677300476072,0.0,0.95173967494128675,2.2302236041213738e-293,0.92745322875357106,1.8796730675744871e-139,0.96508700716201301,1.3173670986773849e-75
6,0.81176947413309719,0.0,0.94844582728533433,6.2533327101015755e-280,0.92708457845163028,7.0915397235621006e-134,0.94793878138187471,6.2889754850432975e-70
8,0.77047331600462221,0.0,0.91801716011893775,7.4557624285020141e-251,0.69905695367696907,1.3374896158727619e-73,0.83735247921148315,1.470734583757385e-52
10,0.74519140428301278,0.0,0.91858665443644416,1.3099685477171447e-239,0.75716940669416066,4.3540438875121237e-82,0.79974968275153391,6.6441601451562479e-46
12,0.7353148095567813,0.0,0.91797411719754562,2.4239099780430943e-227,0.75698892342733892,4.0473502661130857e-78,0.83451957355423412,1.9659582235548448e-47
14,0.72448505393039409,0.0,0.9117279915653772,6.6351672558921326e-213,0.76217376171790996,3.4971904717240701e-75,0.85280286542244166,5.8725613039928155e-47
16,0.70298082780497351,0.0,0.89271986576053108,2.0701426785604353e-196,0.73572273617680406,1.5744543282436759e-67,0.6049314250272565,1.4519358272225912e-23
18,0.66524851718400857,0.0,0.89385252206063748,1.2874489446413318e-183,0.82401654859219609,1.4030267049223207e-78,0.63527033160899304,3.142171340744917e-24
20,0.62603622580711726,0.0,0.85024825571126927,3.8621861010611625e-157,0.7784473162194161,1.8090700927641668e-66,nan,nan
22,0.5743838064260034,0.0,0.82841054343213261,7.0289675681980868e-141,0.78723051168607894,5.4932687979646709e-64,nan,nan
24,0.58289504614781418,0.0,0.83994714559471939,3.8261633557394499e-136,0.78042345094645371,2.472790622825355e-59,nan,nan
26,0.55741631943845671,8.2716298034377461e-280,0.84397581807830202,2.0416403292902032e-129,0.80446515579692512,4.0074258018988504e-59,nan,nan
28,0.55914115045840007,1.7707124173830657e-265,0.84672110379402465,7.0452052786782445e-123,0.78895929613249938,6.9728486948034399e-54,nan,nan
30,0.56503544666470229,2.5424327349313396e-257,0.84997468127974618,1.913189152775878e-117,0.79355746241866776,1.0339417306327752e-51,nan,nan
32,0.52365470917107226,2.0586091430103275e-204,0.80724654437372401,3.7741201987866846e-98,0.79202588820496012,1.6146242326920536e-47,nan,nan
