change,correlation_100,pvalue_100,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,1.0000000000000002,0.0,1.0000000000000002,0.0,1.0,0.0,1.0,0.0
2,0.99999999999999978,0.0,0.99999999999999978,0.0,1.0,0.0,1.0,0.0
4,0.95338159262844824,0.0,0.95338159262844824,0.0,0.96734756413247758,0.0,0.9834706898716693,0.0
6,0.92783300383358491,0.0,0.92783300383358491,0.0,0.95048025645136003,0.0,0.97638980818053267,0.0
8,0.92058342882108768,0.0,0.92058342882108768,0.0,0.94534708098132358,0.0,0.97218132969284909,0.0
10,0.90827648233591896,0.0,0.90827648233591896,0.0,0.93536441531355352,0.0,0.96633067897886959,0.0
12,0.86871146461995796,0.0,0.86871146461995796,0.0,0.90225935803449708,0.0,0.94627667287840189,0.0
14,0.85872019626860507,0.0,0.85872019626860507,0.0,0.89320425103169432,0.0,0.94361973334679072,0.0
16,0.84242756836003418,0.0,0.84242756836003418,0.0,0.8791339648727492,0.0,0.94097486492551619,0.0
18,0.83526391557969293,0.0,0.83526391557969293,0.0,0.87228313427257587,0.0,0.93702995103347109,0.0
20,0.78579647556865484,0.0,0.78579647556865484,0.0,0.83047107673701359,0.0,0.91013858327389041,0.0
22,0.77373347745248156,0.0,0.77373347745248156,0.0,0.82069029902332569,0.0,0.90515391121277922,0.0
24,0.77019742401538427,0.0,0.77019742401538427,0.0,0.81699415706074474,0.0,0.90144308598137135,0.0
26,0.74863357147212206,0.0,0.74863357147212206,0.0,0.79484760444402736,0.0,0.88323351532703609,0.0
28,0.7370988155291619,0.0,0.7370988155291619,0.0,0.7844699209001933,0.0,0.87676296191723835,0.0
30,0.71869172346534382,0.0,0.71869172346534382,0.0,0.76746610774190216,0.0,0.8663138403322993,0.0
32,0.69384728801561035,0.0,0.69384728801561035,0.0,0.74511687244105773,0.0,0.84044148785439221,0.0
34,0.69201462983439999,0.0,0.69201462983439999,0.0,0.74391809795873198,0.0,0.84044148785439221,0.0
36,0.67511894114446469,0.0,0.67511894114446469,0.0,0.73098676309035382,0.0,0.83062465978880151,0.0
38,0.65950495917426744,0.0,0.65950495917426744,0.0,0.71572454773672267,0.0,0.82097113765643603,0.0
40,0.65704569422799675,0.0,0.65704569422799675,0.0,0.7151715329961621,0.0,0.81990834931615586,0.0
42,0.62749366459635969,0.0,0.62749366459635969,0.0,0.68600216275177661,0.0,0.79802546701289712,0.0
44,0.62749366459635969,0.0,0.62749366459635969,0.0,0.68498518266829034,0.0,0.79700355311745497,0.0
46,0.61944962015036997,0.0,0.61944962015036997,0.0,0.67645663147538748,0.0,0.79090911274950038,0.0
48,0.6088155157672055,0.0,0.6088155157672055,0.0,0.66550774770687438,0.0,0.7805470806405832,0.0
0,1.0000000000000002,0.0,1.0000000000000002,0.0,1.0,0.0,1.0,0.0
2,0.99999999999999978,0.0,0.99999999999999978,0.0,1.0,0.0,1.0,0.0
4,0.99999999999999978,0.0,0.99999999999999978,0.0,1.0,0.0,1.0,0.0
6,0.96010691387139346,0.0,0.96010691387139346,0.0,0.97183307993135271,0.0,0.99124542350510503,0.0
8,0.94542204063526658,0.0,0.94542204063526658,0.0,0.96107224114720391,0.0,0.98691525351437637,0.0
10,0.92759584747276902,0.0,0.92759584747276902,0.0,0.94748459210762392,0.0,0.97693054058255724,0.0
12,0.88111289780564894,0.0,0.88111289780564894,0.0,0.90827328335225876,0.0,0.95063112846910336,0.0
14,0.84641680754940263,0.0,0.84641680754940263,0.0,0.88466623622024498,0.0,0.93856060286547116,0.0
16,0.83497648228178922,0.0,0.83497648228178922,0.0,0.87188188356092677,0.0,0.92964840124612858,0.0
18,0.81775688804018087,0.0,0.81775688804018087,0.0,0.86020461958825833,0.0,0.91938713414035333,0.0
20,0.80457132146058052,0.0,0.80457132146058052,0.0,0.8464789825691964,0.0,0.90805316870784281,0.0
22,0.79879874823873231,0.0,0.79879874823873231,0.0,0.84331865262262728,0.0,0.90556385097317205,0.0
24,0.78386410990730848,0.0,0.78386410990730848,0.0,0.82770242558570672,0.0,0.89572041304161043,0.0
26,0.75572622044692683,0.0,0.75572622044692683,0.0,0.80106374802349356,0.0,0.87512240220916637,0.0
28,0.72498473571323174,0.0,0.72498473571323174,0.0,0.77887432293116465,0.0,0.86807304238363348,0.0
