change,correlation_100,pvalue_100,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,1.0000000000000002,0.0,1.0,0.0,1.0000000000000002,1.7241119404693729e-175,1.0,6.8075612715348053e-88
2,1.0,0.0,1.0,0.0,1.0,1.2781744906233393e-169,1.0,5.9045249787198477e-85
4,0.99652591373270449,0.0,0.99713246704982106,0.0,1.0,9.9645359040351291e-165,1.0,1.6589788165579217e-82
6,0.9928023836618306,0.0,0.99699135153116236,0.0,1.0000000000000002,6.6958983013392945e-157,1.0,1.3740934554503641e-78
8,0.98138165868371174,0.0,0.99378351298842793,1.5676750537371052e-295,1.0,1.4601329638100582e-149,0.99999999999999978,1.1392645466662685e-74
10,0.98041424133120592,0.0,0.99060998067786854,5.5292025913029108e-286,1.0000000000000002,1.1980980055250108e-145,1.0,1.0377758608563351e-72
12,0.98008004114735914,0.0,0.99008353570047214,3.8802351037354625e-275,0.99999999999999989,2.8880835434564039e-140,1.0,2.9216436334950196e-70
14,0.97287372585177179,0.0,0.99310585046033273,3.3811869708087137e-266,0.99999999999999989,6.9664453711252287e-135,1.0,2.5428927239036995e-67
16,0.94626047798356439,0.0,0.98293645197256108,9.3800386417624428e-245,1.0,1.4517034391388034e-126,1.0000000000000002,2.1155776419714045e-63
18,0.83385513891082008,0.0,0.92267560074637134,6.1715705166343088e-186,0.74289457294401606,5.6988949648190395e-61,0.85535066389201042,2.0946788552048586e-40
20,0.79859183086132302,0.0,0.92075602124185685,6.6864890794237893e-172,0.72642246272830868,3.093118592754675e-54,0.85311269390329836,2.4122528249366761e-37
22,0.80280140966027502,0.0,0.91824246312947211,2.9905961258311588e-160,0.69344123688829873,1.6305350693351625e-46,0.80546911039770996,3.050507953302824e-31
24,0.79372261763302976,0.0,0.91272973015952208,1.5479290798851801e-146,0.69113352134895834,6.2036871889236297e-43,0.82928842886272924,1.193954820870762e-30
26,0.79597805837783397,0.0,0.90401682779595538,1.3606401493602554e-136,0.68942631366615859,1.2491787541302337e-40,0.82761815842822017,3.4751130780376832e-29
28,0.71732478696628654,0.0,0.87008341450348148,2.4410647547709382e-113,0.82307805510522525,3.5592068308065325e-51,nan,nan
30,0.71000756255219566,2.1234575155663853e-310,0.88126950001226456,8.1385555639544213e-105,0.80092492171434138,7.880729895784967e-44,nan,nan
32,0.70780635822180038,6.7387664710511094e-301,0.86145111056011936,2.0053390321987859e-98,0.70792525795951533,7.0077690154791005e-34,nan,nan
34,0.7394022948258796,2.3700014491723472e-192,0.86479609514056044,2.1889548965442594e-90,0.78776310516323633,6.9097667357060933e-38,nan,nan
36,0.69618263536295788,1.5728079174528768e-156,0.8157669121323291,4.2787939401682521e-75,0.79632319286743825,3.4782449036146728e-36,nan,nan
38,0.69139848150404914,3.6598264045853188e-147,0.8149173447819632,4.8806189080384886e-71,0.76242118276532433,1.3481878724227031e-31,nan,nan
40,0.66783446504279553,4.0109150389428601e-124,0.81364607770955044,2.9707913181814091e-67,0.82535279938991213,9.9618085561847153e-35,nan,nan
42,0.66096666869882326,1.9087905464167623e-103,0.80024347051538458,1.2212881004260349e-56,0.8284404501132463,1.3684013108874879e-30,nan,nan
44,0.6194616804846651,3.3406130734707022e-83,0.78650303884788875,3.1995768977762256e-50,0.86205887294344441,4.6216252829741293e-30,nan,nan
