change,correlation_100,pvalue_100,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,0.99999999999999978,0.0,1.0,0.0,1.0000000000000002,0.0,0.99999999999999978,1.7686653331248945e-198
2,0.97073007899030961,0.0,0.79770978432314588,0.0,0.87986947548493555,7.7724798689062686e-308,0.6194364153581895,2.2792070176539873e-77
4,0.95659227476605657,0.0,0.96040912483969365,0.0,0.91433713645679204,0.0,0.54163411576850551,1.3710004302056225e-59
6,0.95054387534506968,0.0,0.94737900050201573,0.0,0.88826411463516208,0.0,0.45264956514956345,3.7249767079203694e-42
8,0.94578046537336313,0.0,0.94512281853583457,0.0,0.89096554882154078,0.0,0.33544042102248278,6.6136932969186264e-24
10,0.94258811540394416,0.0,0.93827251298157399,0.0,0.88553690078001523,0.0,0.41717556283230617,4.5645736410852808e-36
12,0.9381809499850905,0.0,0.91857681322857498,0.0,0.8641942243666425,4.8349723087800193e-297,0.38128678643046093,2.0870105348475605e-30
14,0.93277277285888138,0.0,0.90142449943276159,0.0,0.85027731958059349,1.2737511544243585e-287,0.39342843316129067,2.8894278068602954e-32
16,0.92680110372812252,0.0,0.87157590867985724,0.0,0.82655986694529437,6.4285760035455396e-272,0.34959831547722992,7.9462468438550599e-26
18,0.9197572108463774,0.0,0.8280022440760858,0.0,0.79311932286866893,1.5674048670849747e-250,0.23732584146611865,9.7988605222429586e-13
20,0.9122088894655298,0.0,0.79330924406354353,0.0,0.78806067656676282,2.2578331279696051e-247,0.20051289168554479,1.6722115231435356e-09
22,0.90308514201147116,0.0,0.74603974308604826,0.0,0.7722169401876533,1.3050878624290961e-237,0.2436142822401659,2.4373002446057921e-13
24,0.8878447852747261,0.0,0.9128179002908241,0.0,0.83649919463084366,1.9116004285344151e-278,0.33088436180845499,2.6413376881742924e-23
26,0.88415495181941417,0.0,0.90051822711221219,0.0,0.82571310109700824,2.2937601155052142e-271,0.32130691820250445,4.5677841723544076e-22
