change,correlation_100,pvalue_100,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,0.99999999999999978,0.0,1.0,0.0,1.0000000000000002,0.0,0.99999999999999978,1.7686653331248945e-198
2,0.98144219740289063,0.0,0.8620995709750513,0.0,0.89223034838471083,0.0,0.6056653908516263,4.7550578828371342e-74
4,0.95786674421922002,0.0,0.97100889816947145,0.0,0.92988354661856121,0.0,0.57347524862913246,1.4025378092147803e-66
6,0.95312963513229254,0.0,0.96354402267316841,0.0,0.92164746351467064,0.0,0.59318077419371795,4.1911893087176779e-71
8,0.94745476777742532,0.0,0.94819218261073435,0.0,0.89758635035522771,0.0,0.53813972951330857,7.5862641578291057e-59
10,0.94144505119808208,0.0,0.91387746515727619,0.0,0.8636226911033964,1.1865491650403753e-296,0.51469185509124016,5.5227014629795797e-54
12,0.93544759538358213,0.0,0.89683943118899911,0.0,0.85260488485341079,3.4684365569687461e-289,0.51326296464189891,1.0752240536677599e-53
14,0.92918538508937787,0.0,0.87942690137423085,0.0,0.8525018158874561,4.0693318654009011e-289,0.5201626060004888,4.2360472793187797e-55
16,0.92242232995436779,0.0,0.82217106657829186,0.0,0.81735524568695017,6.0662014886651631e-266,0.51290094182605406,1.2725685428629925e-53
18,0.91810883288443323,0.0,0.79555196081933532,0.0,0.8107118940003718,1.1315449488268762e-261,0.53752312901104549,1.024794066283385e-58
20,0.91071195915453296,0.0,0.7656875408885534,0.0,0.79842948957398285,7.2097856693700073e-254,0.54725202186746569,8.561113933734746e-61
22,0.89128877398472528,0.0,0.90331942324693371,0.0,0.8568533397132162,4.7059623818702643e-292,0.56220027218127333,4.6500329091660916e-64
24,0.88818078061988925,0.0,0.89585579418878902,0.0,0.8601596314122375,2.6991480488795709e-294,0.59256359726421681,5.8391661613815714e-71
26,0.88160765627498672,0.0,0.8439131183632439,0.0,0.81999714975284799,1.1881415097845812e-267,0.55582657949034064,1.1757489668088131e-62
28,0.87857623401336415,0.0,0.8290558339966887,0.0,0.81153406382548177,3.3652487265536505e-262,0.57004903475051893,8.281493715661679e-66
30,0.87139177292920378,0.0,0.80111769592064386,0.0,0.80074271465979319,2.4956732873568667e-255,0.57847295401667409,1.0322081452026451e-67
32,0.86588008213436851,0.0,0.76350211824975511,0.0,0.78006807987193483,2.0089983183875092e-242,0.58548447800538528,2.5559637535468389e-69
34,0.86173078211744114,0.0,0.73602799530941221,0.0,0.77373685498899236,1.5407856302935232e-238,0.61295043995404097,8.5193778160426027e-76
36,0.85108334018800502,0.0,0.68103601944915326,0.0,0.7512686708934817,5.2347020448824729e-225,0.62459313018713303,1.2465643354491208e-78
38,0.84153290261095237,0.0,0.65498392866428101,0.0,0.72615699208969064,2.3502483060851277e-210,0.62974935926261288,6.6582758675873661e-80
40,0.8334060458247089,0.0,0.62027440062364525,1.2210775555352084e-306,0.697790599718766,2.1111810316428664e-194,0.63650002037184128,1.386248168668289e-81
42,0.82368763451836302,0.0,0.5901917756952596,8.0066676655773484e-278,0.66970254512932059,3.1368194107115197e-179,0.64484423577887084,1.093299331136653e-83
44,0.8141458973074196,0.0,0.6231090259636668,1.9845924605048624e-309,0.79846936806666935,6.804182888808347e-254,0.70574773952901615,7.2968129443974701e-100
46,0.79705761550091914,0.0,0.5646320915139168,1.8356709875432135e-254,0.72388574200966249,4.6971623907200877e-209,0.6632247556944304,2.0414627570108598e-88
48,0.7899062570712776,0.0,0.53919274693746744,3.0839021318502887e-232,0.68335675085771574,1.5802922944162036e-186,0.65140040423412815,2.3290996842833836e-85
50,0.7743916346536962,0.0,0.50182207598669415,1.9228527899406499e-201,0.63248964318049961,4.3626569459596106e-160,0.61549480298383352,2.0675206984684548e-76
52,0.7689320688974175,0.0,0.52339890582386739,5.929688609298991e-219,0.6368045518142571,2.9921556506318912e-162,0.63114158985242363,3.0062900024617708e-80
