change,correlation_100,pvalue_100,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,1.0000000000000002,0.0,1.0,0.0,1.0000000000000002,1.7241119404693729e-175,1.0,6.8075612715348053e-88
2,0.97280762621292804,0.0,0.98682972349407316,0.0,1.0,1.2781744906233393e-169,1.0,5.9045249787198477e-85
4,0.94663230195617676,0.0,0.98415464848544454,0.0,1.0000000000000002,9.4809301238294502e-164,1.0000000000000002,5.1237786572324089e-82
6,0.92730975133935023,0.0,0.9724701416088205,8.578966400496141e-293,1.0,6.0634674959327364e-155,0.99999999999999978,1.3110711731473502e-77
8,0.88790022055789863,0.0,0.93658279553365664,7.1316736061613279e-262,0.85007513622401487,2.8264508908888776e-108,0.8901402848854536,1.5083460140098573e-59
10,0.86853277525082184,0.0,0.93970487006248282,1.618066163112029e-251,0.86174448086184929,3.9955247558312745e-106,0.90546992020580974,9.6961406158337609e-59
12,0.82080520538231971,0.0,0.93224098430555569,1.1335607995999242e-235,0.86086478619616591,7.8268719218226634e-101,0.90413512124035833,9.1160849678263594e-56
14,0.77453026962282534,0.0,0.91343049294943179,3.8505293084464412e-216,0.84731854573632337,1.5852708413455555e-93,0.90284331443510635,3.2518844151367206e-53
16,0.76185629710947567,0.0,0.8988738067618085,4.0136368209673538e-197,0.71501403694963261,3.9330842985908521e-63,0.85584480743419944,4.0034396042942662e-45
18,0.73209113906708212,0.0,0.88922224817308171,4.6247179528068834e-184,0.64628973200138151,1.1753105227349482e-49,0.81193652713276143,7.6077677779404348e-39
20,0.70008862215656509,0.0,0.87776906987489733,4.1192182431711202e-171,0.67142398326741615,5.0996490116484362e-51,0.81036043078236353,4.3451025448052803e-37
22,0.68623830380000761,0.0,0.85799899603594643,2.6806516943619074e-155,0.55312577344485137,2.2218756312449887e-33,0.69100098821064271,5.1388589375696629e-26
24,0.63140667357314062,0.0,0.83509580234479053,1.1388711471765827e-137,0.69384239204012232,3.2109066783741447e-48,nan,nan
26,0.55744659601754787,2.7687584646163243e-287,0.81161751565987561,4.6795957710929255e-123,0.79746120842390444,1.0896740143488344e-59,nan,nan
28,0.48329597317015682,1.559204137909279e-198,0.74067974982892459,3.229712638605543e-94,0.81182059348713997,1.2730377736910543e-56,nan,nan
30,0.46200154804815147,8.3671997219581172e-170,0.74603423856375606,1.4662618054885292e-89,0.80317009726464061,5.5856252006516784e-52,nan,nan
32,0.43498349535594333,4.149164934182112e-140,0.72608226467496295,5.3922523745430549e-79,0.78722189366096462,1.1627057033985155e-46,0.41340996569944238,1.5402163280515139e-07
34,0.45166273388734379,2.0151158340423869e-139,0.72283765433614766,2.0303237848800864e-72,0.77497548435891228,9.7608922929861067e-42,nan,nan
36,0.4381628388036084,4.6243653958629153e-123,0.70560490976522094,1.0577770854651469e-64,0.8031688778245335,7.537208956795028e-42,0.23864809148528612,0.0049503990986256982
38,0.40771232170961974,4.5225414009900215e-96,0.66719874405144464,3.7840075899854449e-52,0.77737747133818524,1.8684552404126941e-35,0.53080790689645962,3.9623482177975671e-09
40,0.39809772617218492,1.0263475704083893e-86,0.65334275922088036,2.3505941349006876e-47,0.76026565948546043,5.3728940493915602e-32,0.62024584713752551,2.2855754330605351e-11
42,0.40769992540607941,7.8647227111647207e-85,0.68385295449553973,2.866327294873087e-48,0.80607553138702204,1.599190616949266e-33,0.61154209980785323,2.4040958417828603e-10
44,0.41951443648826431,6.0075715816585548e-82,0.71249563983898134,9.2334633191699571e-48,0.8138239289239888,3.3052441325537577e-31,0.3266933398204846,0.001201195934537393
46,0.43174373902781915,6.5276808645542894e-77,0.72653016071647825,6.8459531449313519e-44,0.8131382367075044,1.40068240767416e-27,nan,nan
48,0.42097858242688652,7.8606618498777255e-68,0.70829597520905108,7.6042111521731582e-39,0.8167324118352367,7.6960966589313812e-26,nan,nan
0,1.0000000000000002,0.0,1.0,0.0,1.0000000000000002,1.7241119404693729e-175,1.0,6.8075612715348053e-88
2,0.91864158642533367,0.0,0.9755212000329696,0.0,0.93364272702241646,5.5191368178740703e-146,0.98364488099537062,7.7173055205638519e-81
4,0.86173531339039644,0.0,0.92784538270317551,9.9198372979300579e-275,0.68480234255295391,9.2571200614284277e-76,0.8532947252338362,1.9453774493767577e-58
6,0.83122761487253904,0.0,0.91656743170227006,1.2151058726412224e-256,0.68371467252404172,2.5577557130398888e-72,0.85233243997591346,8.1302024008683465e-56
8,0.80749077636894351,0.0,0.9018598324207513,3.3723683035615519e-238,0.67249998249053877,3.8180958026422589e-67,0.83151675770437439,3.5561641602126095e-51
10,0.78472412022128646,0.0,0.89419009234270508,1.2127312315001257e-223,0.66143782776614768,3.1673916756961463e-62,0.79304467757319796,1.5026926331654848e-44
12,0.76560644630656627,0.0,0.88485079916003739,1.8204157883226548e-209,0.46372810297734818,4.2475940395121094e-30,0.60858061945018449,7.7333494264145399e-26
14,0.7027206773845589,0.0,0.87277712973692712,8.7112274216614128e-194,0.73522341277692072,1.4683656290293391e-69,0.57697694210940631,3.0716444474665137e-22
16,0.60598201161776966,0.0,0.83302042212001126,1.5563561330635445e-166,0.83803298913215529,1.1908341375788346e-84,0.56049392427879108,5.4445616107491991e-20
18,0.57437831491829494,0.0,0.81671649129401769,9.7747208193958077e-149,0.83569039164816838,4.9607705210083474e-78,0.53030049405405411,8.3159320273268977e-17
20,0.51823959413033893,4.9294255749722714e-276,0.7857204216337107,1.9102194220040004e-128,0.8326911848096088,2.1719761731828667e-72,0.59603956067926966,2.0416938065521507e-19
22,0.46643796527598902,2.2591765492649117e-208,0.74026047026092745,3.4648293275447791e-106,0.79786711857404602,6.2187743519052768e-62,0.50246064091436315,2.3000220270301151e-13
24,0.43543435537378217,1.4513565423524256e-171,0.70533617517231417,5.5922528131413837e-91,0.76627433559238478,8.2311373745931776e-54,0.67177540600551344,2.4356761961920408e-21
26,0.37919406600920058,1.612350412240958e-121,0.63808024244873118,8.2193546395305782e-70,0.71496297080464077,4.5787207227494622e-44,0.7793826539115688,2.2800632635086144e-26
28,0.38655500794924669,9.0691321791660402e-120,0.65148734813884324,5.9357145959145768e-69,0.71843326552175113,3.3864411517832977e-42,0.76763776044543885,3.538381103293715e-24
30,0.30588421013483635,1.5954839583369325e-69,0.5591371483052201,3.9784104412315772e-47,0.66741899029599205,1.3745617449056889e-33,0.78989468772865312,2.3621600654411038e-23
