change,correlation_100,pvalue_100,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,1.0000000000000002,0.0,1.0000000000000002,0.0,1.0,0.0,1.0,0.0
2,0.9551494217570099,0.0,0.9551494217570099,0.0,0.96857577354473334,0.0,0.97976653253604351,0.0
4,0.94928346251284501,0.0,0.94928346251284501,0.0,0.96641817686073839,0.0,0.97693054058255724,0.0
6,0.9239473761474245,0.0,0.9239473761474245,0.0,0.9516184384708487,0.0,0.97270132491310479,0.0
8,0.9079534478889083,0.0,0.9079534478889083,0.0,0.94237444786953062,0.0,0.96850145762298134,0.0
10,0.86373536082000846,0.0,0.86373536082000846,0.0,0.9045508154592512,0.0,0.94658091383088083,0.0
12,0.86373536082000846,0.0,0.86373536082000846,0.0,0.9045508154592512,0.0,0.94658091383088083,0.0
14,0.85085502381418987,0.0,0.85085502381418987,0.0,0.89268310605285983,0.0,0.93723411077484475,0.0
16,0.83484377413690136,0.0,0.83484377413690136,0.0,0.87940889340548212,0.0,0.92802873915071527,0.0
18,0.81952203713874239,0.0,0.81952203713874239,0.0,0.86403795215870649,0.0,0.92024760240354775,0.0
20,0.81210360453543295,0.0,0.81210360453543295,0.0,0.85574738595208966,0.0,0.91639392219544313,0.0
22,0.79960037689569663,0.0,0.79960037689569663,0.0,0.84303626886245775,0.0,0.904305056138622,0.0
24,0.79268444493904355,0.0,0.79268444493904355,0.0,0.8375907402367313,0.0,0.90062060828235513,0.0
26,0.7774740738599083,0.0,0.7774740738599083,0.0,0.82542753534637603,0.0,0.89090832977967893,0.0
28,0.75449153711322814,0.0,0.75449153711322814,0.0,0.80150777286403674,0.0,0.87429297154484087,0.0
30,0.73679233466622018,0.0,0.73679233466622018,0.0,0.78564683234809629,0.0,0.86744203444221302,0.0
32,0.73159121623255396,0.0,0.73159121623255396,0.0,0.78031643951838148,0.0,0.86744203444221302,0.0
34,0.71450967261167331,0.0,0.71450967261167331,0.0,0.76477125354745146,0.0,0.86056938911188097,0.0
36,0.70677589479448055,0.0,0.70677589479448055,0.0,0.75723800593632618,0.0,0.85377737813428189,0.0
38,0.69451838197187465,0.0,0.69451838197187465,0.0,0.74596027005948318,0.0,0.84088415714271425,0.0
40,0.69046095149407893,0.0,0.69046095149407893,0.0,0.74299822506674662,0.0,0.83871615407760935,0.0
42,0.68822957603553103,0.0,0.68822957603553103,0.0,0.7400605493802842,0.0,0.83871615407760935,0.0
44,0.6860141882794647,0.0,0.6860141882794647,0.0,0.73947590636340033,0.0,0.83871615407760935,0.0
46,0.67989443422157392,0.0,0.67989443422157392,0.0,0.73368165863413903,0.0,0.83763527709382624,0.0
48,0.67135807446761475,0.0,0.67135807446761475,0.0,0.72460302323097159,0.0,0.83333240320607749,0.0
0,1.0000000000000002,0.0,1.0000000000000002,0.0,1.0,0.0,1.0,0.0
2,0.96010691387139346,0.0,0.96010691387139346,0.0,0.97074450586036021,0.0,0.98691525351437637,0.0
