missing,correlation,pvalue,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,0.99999999999999989,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0,0.99999999999999978,2.4461443463433546e-182
2,0.98912405884778232,0.0,0.93580176435614226,0.0,0.93580176435614226,0.0,0.74792048575547454,7.0555396165243137e-103
4,0.98000097906441874,0.0,0.8969140996587196,0.0,0.8969140996587196,0.0,0.5863952142386375,5.7517276089282224e-64
6,0.96791140422167266,0.0,0.84530571093322404,0.0,0.84530571093322404,0.0,0.31436508509759126,1.4001139154106947e-19
8,0.95760129474746325,0.0,0.81596402013804159,0.0,0.81596402013804159,0.0,0.295158864782818,1.9085208018528038e-17
10,0.94403972172758011,0.0,0.75738514011622804,0.0,0.75738514011622804,0.0,0.33128362766109737,1.4357969487115865e-21
12,0.93385362295557439,0.0,0.73513826545502592,0.0,0.73513826545502592,0.0,0.30416582023254601,1.977087469455087e-18
14,0.9214923310666141,0.0,0.70248822532966693,0.0,0.70248822532966693,0.0,0.28567939594849018,1.9314193384026937e-16
16,0.91196399576777198,0.0,0.68169361871533596,0.0,0.68169361871533596,0.0,0.33221816220451406,1.1072611803112365e-21
18,0.89741498534458086,0.0,0.64519300164152926,0.0,0.64519300164152926,0.0,0.24415071761719095,2.0590091923946224e-12
20,0.91203240257606322,0.0,0.85211210766487144,0.0,0.85211210766487144,0.0,0.22683602832653402,6.4964857291197412e-11
22,0.90564395235202599,0.0,0.83132566399486896,0.0,0.83132566399486896,0.0,0.24368995903552054,2.2642282949401125e-12
24,0.89787745056912682,0.0,0.79536819603344722,0.0,0.79536819603344722,0.0,0.26717545717615609,1.4323582441048536e-14
26,0.89057343426460389,0.0,0.76746756161634755,0.0,0.76746756161634755,0.0,0.25668658315183551,1.4528663600738755e-13
28,0.88224537053844687,0.0,0.73692038021878348,0.0,0.73692038021878348,0.0,0.24655525252567423,1.2505723992702366e-12
30,0.87240032931690936,0.0,0.70408450057525473,0.0,0.70408450057525473,0.0,0.25639865699848191,1.5463083934034453e-13
32,0.86194135808164207,0.0,0.67114231109740952,0.0,0.67114231109740952,0.0,0.12972386167775474,0.00018737531244149351
34,0.84975300031342593,0.0,0.64393085278466433,0.0,0.64393085278466433,0.0,0.16192017284461507,3.1229532556172485e-06
36,0.83663903141023666,0.0,0.61035290800725228,0.0,0.61035290800725228,0.0,0.21839031842918402,3.2024695975214563e-10
38,0.82437598574087545,0.0,0.58600411634055771,0.0,0.58600411634055771,0.0,0.19764913305429613,1.260061458795954e-08
40,0.81204522420950109,0.0,0.56992075564442579,0.0,0.56992075564442579,0.0,0.20755868957700707,2.2764097491586906e-09
42,0.82522776002266018,0.0,0.73700665542362076,0.0,0.73700665542362076,0.0,0.20683157129071122,2.5879210238274088e-09
44,0.81931100078416896,0.0,0.70962852073367277,0.0,0.70962852073367277,0.0,0.18913112081093764,5.1482040799157749e-08
46,0.81128885279385898,0.0,0.67370870213594725,0.0,0.67370870213594725,0.0,0.15678447419229904,6.341293422101748e-06
48,0.79786248204368349,0.0,0.64019205534582646,0.0,0.64019205534582646,0.0,0.21602777139932647,4.9520889000351149e-10
0,0.99999999999999989,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0,0.99999999999999978,2.4461443463433546e-182
2,0.9898832376827692,0.0,0.94819851151982026,0.0,0.94819851151982026,0.0,0.69496306873155911,4.3493420600564977e-89
4,0.97915546326473135,0.0,0.89472643029273113,0.0,0.89472643029273113,0.0,0.58727394067881733,3.7450450079289717e-64
6,0.96933462896511691,0.0,0.85522826299067178,0.0,0.85522826299067178,0.0,0.3886264474973341,4.5299434015280213e-29
8,0.95592593680526139,0.0,0.79611168763012641,0.0,0.79611168763012641,0.0,0.38930189530816256,3.6369808239698306e-29
10,0.94489876019202346,0.0,0.75861660752043936,0.0,0.75861660752043936,0.0,0.358987554865904,4.7828078667997801e-25
12,0.93404594534535212,0.0,0.73030505773989463,0.0,0.73030505773989463,0.0,0.36396616669650689,1.0610575169769139e-25
14,0.92400631438350833,0.0,0.70544654343538893,0.0,0.70544654343538893,0.0,0.40980008833928944,3.8857592897434263e-32
16,0.90813987415344788,0.0,0.65910541316878646,0.0,0.65910541316878646,0.0,0.35936379464757812,4.2714234456080448e-25
18,0.89829437346176311,0.0,0.63424300849317938,0.0,0.63424300849317938,0.0,0.36270948691067206,1.5546744598672045e-25
20,0.90995417475478435,0.0,0.85442904904487371,0.0,0.85442904904487371,0.0,0.30945977275425374,5.0560091802878428e-19
22,0.90442086310653036,0.0,0.83107301889632068,0.0,0.83107301889632068,0.0,0.31055778111693294,3.7995164142268325e-19
24,0.89728589664717862,0.0,0.80545386603860714,0.0,0.80545386603860714,0.0,0.31483475661233717,1.2368612273242075e-19
26,0.88919286666433239,0.0,0.76879685482700799,0.0,0.76879685482700799,0.0,0.33712283689751343,2.7984498433457642e-22
28,0.88066751318807313,0.0,0.73718354102207218,0.0,0.73718354102207218,0.0,0.34131550650091985,8.5015873212743549e-23
30,0.86949996960030151,0.0,0.69057848275164169,0.0,0.69057848275164169,0.0,0.33831134048195072,1.9993129237215276e-22
32,0.85992161427235125,0.0,0.66028256681310271,0.0,0.66028256681310271,0.0,0.31011377334954554,4.2653505470508496e-19
34,0.85143638633697083,0.0,0.63718634798370055,0.0,0.63718634798370055,0.0,0.28135183005194747,5.4218504533645119e-16
36,0.83975488278378629,0.0,0.61017123933978579,0.0,0.61017123933978579,0.0,0.25622711742370236,1.6047599852268262e-13
38,0.82765206598438246,0.0,0.57769713601313488,0.0,0.57769713601313488,0.0,0.27143945336218483,5.4433528770723312e-15
40,0.81509883422420304,0.0,0.5594124111848785,0.0,0.5594124111848785,0.0,0.25752639046238462,1.2108779293424975e-13
42,0.83327673248309508,0.0,0.76090058664367333,0.0,0.76090058664367333,0.0,0.27137466744683525,5.5245753875866942e-15
44,0.82493600354887731,0.0,0.73281078612202522,0.0,0.73281078612202522,0.0,0.29457483202399859,2.2057154277398979e-17
46,0.81590023019968894,0.0,0.69988617653752039,0.0,0.69988617653752039,0.0,0.31400239426223059,1.5405930552592982e-19
48,0.80402879004636729,0.0,0.66278603319290075,0.0,0.66278603319290075,0.0,0.27174256873865033,5.0786843342645496e-15
0,0.99999999999999989,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0,0.99999999999999978,2.4461443463433546e-182
2,0.99070491061827426,0.0,0.9574829340840505,0.0,0.9574829340840505,0.0,0.77226284020761549,1.4853290571396561e-109
4,0.98005137249322982,0.0,0.8984231069614842,0.0,0.8984231069614842,0.0,0.47059700861112536,7.810564973466899e-42
6,0.96961978264946092,0.0,0.85507395914142614,0.0,0.85507395914142614,0.0,0.36542350381341726,6.8020937808697765e-26
8,0.95857345495136648,0.0,0.8141039696660719,0.0,0.8141039696660719,0.0,0.41444783114926115,7.8501739055703531e-33
10,0.94798387667658457,0.0,0.78112166650389991,0.0,0.78112166650389991,0.0,0.4092452486338673,4.6976373066844239e-32
