missing,correlation,pvalue,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,0.99999999999999989,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0,0.99999999999999978,2.4461443463433546e-182
2,0.99324199520524359,0.0,0.97731043450034205,0.0,0.97731043450034205,0.0,0.74373122303603756,5.8580708182025461e-98
4,0.98039491552788594,0.0,0.90436405645936579,0.0,0.90436405645936579,0.0,0.43235887152951302,5.2469961668093278e-33
6,0.96858902149273263,0.0,0.84433439832351698,0.0,0.84433439832351698,0.0,0.5027038771151392,5.0629751367522849e-43
8,0.95921641251852574,0.0,0.8116074548819634,0.0,0.8116074548819634,0.0,0.46898587943069492,8.3564566584583481e-37
10,0.9504328411801114,0.0,0.76837234736508575,0.0,0.76837234736508575,0.0,0.44459706598211801,1.4401967298723024e-32
12,0.9403650326897951,0.0,0.72417019320286391,0.0,0.72417019320286391,0.0,0.49534675375877402,1.8418731730902896e-41
14,0.92518302127542063,0.0,0.66468763035628931,0.0,0.66468763035628931,0.0,0.49191332991719161,4.4270747382330997e-40
16,0.91400932035848848,0.0,0.63909571271750487,0.0,0.63909571271750487,0.0,0.55177304819791839,1.0408483752372131e-53
18,0.90164109715889651,0.0,0.61221127833703104,0.0,0.61221127833703104,0.0,0.53312314894411927,2.7799321710286448e-49
20,0.91740210553490786,0.0,0.83207177477516092,0.0,0.83207177477516092,0.0,0.54722892601333428,4.5781872654231376e-50
22,0.91033064988052959,0.0,0.81587014258413948,0.0,0.81587014258413948,0.0,0.54781391122062528,5.4401350942798594e-49
24,0.90158224829221034,0.0,0.7954434321135212,0.0,0.7954434321135212,0.0,0.55064114994701541,9.7965200994991037e-49
26,0.89187751034223284,0.0,0.75999285852486687,0.0,0.75999285852486687,0.0,0.5762079502122851,3.389804057030011e-53
28,0.88344506582514715,0.0,0.73725026681020123,0.0,0.73725026681020123,0.0,0.73725026681020123,0.0
30,0.87415282993911625,0.0,0.68224994216425272,0.0,0.68224994216425272,0.0,0.68224994216425272,0.0
32,0.86109377044713531,0.0,0.65372568650259844,0.0,0.65372568650259844,0.0,0.65372568650259844,0.0
34,0.84691948044081089,0.0,0.61288624187208207,8.1083080064578206e-302,0.61288624187208207,8.1083080064578206e-302,0.61288624187208207,8.1083080064578206e-302
36,0.83591846620665544,0.0,0.59764654060525968,3.4062303810879164e-278,0.59764654060525968,3.4062303810879164e-278,0.59764654060525968,3.4062303810879164e-278
38,0.82001544489419331,0.0,0.59380878358482658,3.2689828352436804e-266,0.59380878358482658,3.2689828352436804e-266,0.59380878358482658,3.2689828352436804e-266
40,0.83094713214301852,0.0,0.77465166811877328,0.0,0.77465166811877328,0.0,0.77465166811877328,0.0
42,0.82733859184508862,0.0,0.76093088404923692,0.0,0.76093088404923692,0.0,0.76093088404923692,0.0
44,0.81194655021807938,0.0,0.70772917902663257,0.0,0.70772917902663257,0.0,0.70772917902663257,0.0
46,0.80084178140654771,0.0,0.65477844996228018,3.3924599163246952e-279,0.65477844996228018,3.3924599163246952e-279,0.65477844996228018,3.3924599163246952e-279
48,0.78791558140124118,0.0,0.63069103536670035,2.876424172185903e-249,0.63069103536670035,2.876424172185903e-249,0.63069103536670035,2.876424172185903e-249
0,0.99999999999999989,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0,0.99999999999999978,2.4461443463433546e-182
2,0.99202359853392019,0.0,0.96858056061726394,0.0,0.96858056061726394,0.0,1.0,1.90519939868828e-177
4,0.97810476113724953,0.0,0.90495836538032215,0.0,0.90495836538032215,0.0,0.63831398217216329,2.9437400141557777e-72
6,0.96301111308598542,0.0,0.84019794239864276,0.0,0.84019794239864276,0.0,0.41024064086539397,4.7575496951883764e-30
8,0.95158614933263919,0.0,0.80169810947740805,0.0,0.80169810947740805,0.0,0.42463562343899708,2.8178475571758948e-31
10,0.93971441382642706,0.0,0.76038871639018235,0.0,0.76038871639018235,0.0,0.42435814015633216,1.5761449482340824e-30
12,0.92685950206431911,0.0,0.72728621512514247,0.0,0.72728621512514247,0.0,0.43204931591983331,1.1506057542934256e-30
