missing,correlation,pvalue,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999989,0.0
2,0.94113290320545417,0.0,0.94113290320545417,0.0,0.94113290320545417,0.0,0.94113290320545417,0.0
4,0.88970869933054608,0.0,0.88970869933054608,0.0,0.88970869933054608,0.0,0.88970869933054608,0.0
6,0.81375031543929532,0.0,0.81375031543929532,0.0,0.81375031543929532,0.0,0.81375031543929532,0.0
8,0.79215283023747085,0.0,0.79215283023747085,0.0,0.79215283023747085,0.0,0.79215283023747085,0.0
10,0.73827989799837868,0.0,0.73827989799837868,0.0,0.73827989799837868,0.0,0.73827989799837868,0.0
12,0.67443190500272987,0.0,0.67443190500272987,0.0,0.67443190500272987,0.0,0.67443190500272987,0.0
14,0.63328818267124531,0.0,0.63328818267124531,0.0,0.63328818267124531,0.0,0.63328818267124531,0.0
16,0.60415518956377745,0.0,0.60415518956377745,0.0,0.60415518956377745,0.0,0.60415518956377745,0.0
18,0.57217593300344205,0.0,0.57217593300344205,0.0,0.57217593300344205,0.0,0.57217593300344205,0.0
20,0.55212968202360646,1.2251262615695572e-310,0.55212968202360646,1.2251262615695572e-310,0.55212968202360646,1.2251262615695572e-310,0.55212968202360646,1.2251262615695572e-310
22,0.49297563736643185,4.1836183145085273e-233,0.49297563736643185,4.1836183145085273e-233,0.49297563736643185,4.1836183145085273e-233,0.49297563736643185,4.1836183145085273e-233
24,0.47583740620224796,3.8709396310248358e-206,0.47583740620224796,3.8709396310248358e-206,0.47583740620224796,3.8709396310248358e-206,0.47583740620224796,3.8709396310248358e-206
26,0.43065671820134599,8.7188403042084083e-162,0.43065671820134599,8.7188403042084083e-162,0.43065671820134599,8.7188403042084083e-162,0.43065671820134599,8.7188403042084083e-162
28,0.39739603041755944,5.0443841272828104e-130,0.39739603041755944,5.0443841272828104e-130,0.39739603041755944,5.0443841272828104e-130,0.39739603041755944,5.0443841272828104e-130
30,0.30305528769342538,9.6075916211341637e-72,0.30305528769342538,9.6075916211341637e-72,0.30305528769342538,9.6075916211341637e-72,0.30305528769342538,9.6075916211341637e-72
32,0.31054005687603214,1.0602255632584462e-70,0.31054005687603214,1.0602255632584462e-70,0.31054005687603214,1.0602255632584462e-70,0.31054005687603214,1.0602255632584462e-70
34,0.31755144063886515,3.0065785399347126e-69,0.31755144063886515,3.0065785399347126e-69,0.31755144063886515,3.0065785399347126e-69,0.31755144063886515,3.0065785399347126e-69
36,0.29394012642562789,4.6163739744498272e-55,0.29394012642562789,4.6163739744498272e-55,0.29394012642562789,4.6163739744498272e-55,0.29394012642562789,4.6163739744498272e-55
38,0.26567467698322622,1.5734086545899509e-41,0.26567467698322622,1.5734086545899509e-41,0.26567467698322622,1.5734086545899509e-41,0.26567467698322622,1.5734086545899509e-41
