missing,correlation,pvalue,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999989,0.0
2,0.97729151533025294,0.0,0.97729151533025294,0.0,0.97729151533025294,0.0,0.97729151533025294,0.0
4,0.93471454657565778,0.0,0.93471454657565778,0.0,0.93471454657565778,0.0,0.93471454657565778,0.0
6,0.88646710635929649,0.0,0.88646710635929649,0.0,0.88646710635929649,0.0,0.88646710635929649,0.0
8,0.88094995555803857,0.0,0.88094995555803857,0.0,0.88094995555803857,0.0,0.88094995555803857,0.0
10,0.84634024500839933,0.0,0.84634024500839933,0.0,0.84634024500839933,0.0,0.84634024500839933,0.0
12,0.84145688038326927,0.0,0.84145688038326927,0.0,0.84145688038326927,0.0,0.84145688038326927,0.0
14,0.83585497091256145,0.0,0.83585497091256145,0.0,0.83585497091256145,0.0,0.83585497091256145,0.0
16,0.70477491988602803,3.4757143445701039e-261,0.70477491988602803,3.4757143445701039e-261,0.70477491988602803,3.4757143445701039e-261,0.70477491988602803,3.4757143445701039e-261
18,0.70260834076438838,6.1256073642420418e-250,0.70260834076438838,6.1256073642420418e-250,0.70260834076438838,6.1256073642420418e-250,0.70260834076438838,6.1256073642420418e-250
20,0.68672133356803011,1.2304374217453888e-226,0.68672133356803011,1.2304374217453888e-226,0.68672133356803011,1.2304374217453888e-226,0.68672133356803011,1.2304374217453888e-226
22,0.67906554777222383,3.9801294783385145e-208,0.67906554777222383,3.9801294783385145e-208,0.67906554777222383,3.9801294783385145e-208,0.67906554777222383,3.9801294783385145e-208
24,0.66009618770860479,3.6065429675486647e-190,0.66009618770860479,3.6065429675486647e-190,0.66009618770860479,3.6065429675486647e-190,0.66009618770860479,3.6065429675486647e-190
26,0.67012248440305489,5.451990609713972e-181,0.67012248440305489,5.451990609713972e-181,0.67012248440305489,5.451990609713972e-181,0.67012248440305489,5.451990609713972e-181
28,0.59530766652181277,5.829872396890137e-127,0.59530766652181277,5.829872396890137e-127,0.59530766652181277,5.829872396890137e-127,0.59530766652181277,5.829872396890137e-127
30,0.57977730557141105,2.682152039921078e-112,0.57977730557141105,2.682152039921078e-112,0.57977730557141105,2.682152039921078e-112,0.57977730557141105,2.682152039921078e-112
32,0.58151067607277984,7.9356817283671564e-108,0.58151067607277984,7.9356817283671564e-108,0.58151067607277984,7.9356817283671564e-108,0.58151067607277984,7.9356817283671564e-108
34,0.58248508125297571,4.9059217574250587e-102,0.58248508125297571,4.9059217574250587e-102,0.58248508125297571,4.9059217574250587e-102,0.58248508125297571,4.9059217574250587e-102
36,0.43338732594109475,1.209391466595334e-47,0.43338732594109475,1.209391466595334e-47,0.43338732594109475,1.209391466595334e-47,0.43338732594109475,1.209391466595334e-47
38,0.41814211565683224,1.0764487323376884e-40,0.41814211565683224,1.0764487323376884e-40,0.41814211565683224,1.0764487323376884e-40,0.41814211565683224,1.0764487323376884e-40
40,0.31828648147002381,2.4711585181979364e-21,0.31828648147002381,2.4711585181979364e-21,0.31828648147002381,2.4711585181979364e-21,0.31828648147002381,2.4711585181979364e-21
42,0.32713091322719823,3.1061421535113327e-22,0.32713091322719823,3.1061421535113327e-22,0.32713091322719823,3.1061421535113327e-22,0.32713091322719823,3.1061421535113327e-22
44,0.19611723007089468,5.4341268775449011e-08,0.19611723007089468,5.4341268775449011e-08,0.19611723007089468,5.4341268775449011e-08,0.19611723007089468,5.4341268775449011e-08
46,0.21064369822344081,1.3217985567234229e-08,0.21064369822344081,1.3217985567234229e-08,0.21064369822344081,1.3217985567234229e-08,0.21064369822344081,1.3217985567234229e-08
48,0.21132200819688393,1.8912306605379274e-08,0.21132200819688393,1.8912306605379274e-08,0.21132200819688393,1.8912306605379274e-08,0.21132200819688393,1.8912306605379274e-08
0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999989,0.0
2,0.9890671042414263,0.0,0.9890671042414263,0.0,0.9890671042414263,0.0,0.9890671042414263,0.0
4,0.98538839613560814,0.0,0.98538839613560814,0.0,0.98538839613560814,0.0,0.98538839613560814,0.0
6,0.92827874028440227,0.0,0.92827874028440227,0.0,0.92827874028440227,0.0,0.92827874028440227,0.0
8,0.86223929311612213,0.0,0.86223929311612213,0.0,0.86223929311612213,0.0,0.86223929311612213,0.0
10,0.85917938959614215,0.0,0.85917938959614215,0.0,0.85917938959614215,0.0,0.85917938959614215,0.0
12,0.85946811042137117,0.0,0.85946811042137117,0.0,0.85946811042137117,0.0,0.85946811042137117,0.0
14,0.84593863950831061,0.0,0.84593863950831061,0.0,0.84593863950831061,0.0,0.84593863950831061,0.0
16,0.82285604979105997,0.0,0.82285604979105997,0.0,0.82285604979105997,0.0,0.82285604979105997,0.0
18,0.80656834756146079,0.0,0.80656834756146079,0.0,0.80656834756146079,0.0,0.80656834756146079,0.0
20,0.80337513882724199,0.0,0.80337513882724199,0.0,0.80337513882724199,0.0,0.80337513882724199,0.0
22,0.82024240716859076,0.0,0.82024240716859076,0.0,0.82024240716859076,0.0,0.82024240716859076,0.0
24,0.82305644856949267,0.0,0.82305644856949267,0.0,0.82305644856949267,0.0,0.82305644856949267,0.0
26,0.82125279558749731,7.3815077980041119e-294,0.82125279558749731,7.3815077980041119e-294,0.82125279558749731,7.3815077980041119e-294,0.82125279558749731,7.3815077980041119e-294
28,0.79668609951768388,1.3447474494713214e-250,0.79668609951768388,1.3447474494713214e-250,0.79668609951768388,1.3447474494713214e-250,0.79668609951768388,1.3447474494713214e-250
30,0.80489991752539347,4.9039414558737599e-231,0.80489991752539347,4.9039414558737599e-231,0.80489991752539347,4.9039414558737599e-231,0.80489991752539347,4.9039414558737599e-231
32,0.80459216855632665,1.8321387245600709e-219,0.80459216855632665,1.8321387245600709e-219,0.80459216855632665,1.8321387245600709e-219,0.80459216855632665,1.8321387245600709e-219
34,0.80625052301673805,1.3636665653007832e-215,0.80625052301673805,1.3636665653007832e-215,0.80625052301673805,1.3636665653007832e-215,0.80625052301673805,1.3636665653007832e-215
36,0.71599930356462449,6.6146742623812219e-152,0.71599930356462449,6.6146742623812219e-152,0.71599930356462449,6.6146742623812219e-152,0.71599930356462449,6.6146742623812219e-152
38,0.69000036334905179,6.1428904403123789e-128,0.69000036334905179,6.1428904403123789e-128,0.69000036334905179,6.1428904403123789e-128,0.69000036334905179,6.1428904403123789e-128
40,0.68670602180814178,5.7382683060608466e-118,0.68670602180814178,5.7382683060608466e-118,0.68670602180814178,5.7382683060608466e-118,0.68670602180814178,5.7382683060608466e-118
