missing,correlation,pvalue,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999978,0.0
2,0.98198745268910037,0.0,0.93613988155815431,0.0,0.93613988155815431,0.0,0.91442749082861996,0.0
4,0.9644880427323248,0.0,0.87786892685707041,0.0,0.87786892685707041,0.0,0.84400399674875171,0.0
6,0.94842345558874597,0.0,0.82818522074769685,0.0,0.82818522074769685,0.0,0.78040418355785213,0.0
8,0.93320066299708238,0.0,0.78899476023384252,0.0,0.78899476023384252,0.0,0.73660862386728987,0.0
10,0.917711670244164,0.0,0.75035465196456164,0.0,0.75035465196456164,0.0,0.71644041181441687,0.0
12,0.90226475929448624,0.0,0.72128576129606181,0.0,0.72128576129606181,0.0,0.69492365648835741,0.0
14,0.88665427442684863,0.0,0.69928168621048825,0.0,0.69928168621048825,0.0,0.68085355252270097,0.0
16,0.87176599604026017,0.0,0.68646037389364767,0.0,0.68646037389364767,0.0,0.67206941286412358,0.0
18,0.85680007862669183,0.0,0.67530866129025613,0.0,0.67530866129025613,0.0,0.6806846544077334,0.0
20,0.84106997851462428,0.0,0.665819947142407,0.0,0.665819947142407,0.0,0.66938346369025969,0.0
22,0.8274744654304419,0.0,0.65416932282582219,0.0,0.65416932282582219,0.0,0.67377962244032674,0.0
24,0.81437683450029585,0.0,0.65613035594141234,0.0,0.65613035594141234,0.0,0.66170483265623103,0.0
26,0.80162983329463156,0.0,0.65436034581335745,0.0,0.65436034581335745,0.0,0.66406009079490713,0.0
28,0.78879992000765642,0.0,0.65674517884440542,0.0,0.65674517884440542,0.0,0.63945933821233603,0.0
30,0.77704352774958096,0.0,0.65150760104851924,0.0,0.65150760104851924,0.0,0.62666105363905611,0.0
32,0.76375778793690274,0.0,0.64938360061190892,0.0,0.64938360061190892,0.0,0.61622662504142334,0.0
34,0.75185729162253012,0.0,0.64939748520895146,0.0,0.64939748520895146,0.0,0.59020405352422756,0.0
36,0.73855470825333813,0.0,0.63557249725871701,0.0,0.63557249725871701,0.0,0.57036831097411644,0.0
38,0.72635725979070997,0.0,0.61757228714496648,0.0,0.61757228714496648,0.0,0.55120925628447937,0.0
40,0.71277853025630156,0.0,0.59949444603883884,0.0,0.59949444603883884,0.0,0.53723033175659485,0.0
42,0.70125700462131735,0.0,0.58263870765219994,0.0,0.58263870765219994,0.0,0.51788459275335241,0.0
44,0.68924700935191718,0.0,0.56274378134571046,0.0,0.56274378134571046,0.0,0.502140895890829,0.0
46,0.67513176322003188,0.0,0.53986718842782033,0.0,0.53986718842782033,0.0,0.51179589840744133,0.0
48,0.6595370922554461,0.0,0.51805415508621466,0.0,0.51805415508621466,0.0,0.51140811623520044,0.0
0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999978,0.0
2,0.98300653597734777,0.0,0.93042730786249994,0.0,0.93042730786249994,0.0,0.90586975148828641,0.0
4,0.96665803242966142,0.0,0.87182890099733912,0.0,0.87182890099733912,0.0,0.83527626450625092,0.0
6,0.94924301472398587,0.0,0.82361438080224525,0.0,0.82361438080224525,0.0,0.78824440874150781,0.0
8,0.93190719199312733,0.0,0.78162447091806375,0.0,0.78162447091806375,0.0,0.74436294822221638,0.0
10,0.91646875107333259,0.0,0.74779860078729676,0.0,0.74779860078729676,0.0,0.71667982526792506,0.0
12,0.90107526451511633,0.0,0.72076460010832621,0.0,0.72076460010832621,0.0,0.7034316701095692,0.0
14,0.88588938960483044,0.0,0.7022504032919471,0.0,0.7022504032919471,0.0,0.69881519367953771,0.0
16,0.87153120379916205,0.0,0.6850390212607097,0.0,0.6850390212607097,0.0,0.67914394922965904,0.0
18,0.85756891181651029,0.0,0.67832546603335087,0.0,0.67832546603335087,0.0,0.68306369367998876,0.0
20,0.84313261452385124,0.0,0.67350361988993934,0.0,0.67350361988993934,0.0,0.67878884414842688,0.0
22,0.82818637435285425,0.0,0.66984055711432755,0.0,0.66984055711432755,0.0,0.66434752239607475,0.0
24,0.81453860418614576,0.0,0.67601826251458996,0.0,0.67601826251458996,0.0,0.64152211690771188,0.0
26,0.8018327556906244,0.0,0.69192272387692477,0.0,0.69192272387692477,0.0,0.64984164937791544,0.0
28,0.79013460139905223,0.0,0.6860998265452366,0.0,0.6860998265452366,0.0,0.63672411491229253,0.0
30,0.77860855608645552,0.0,0.6814889918647804,0.0,0.6814889918647804,0.0,0.615700071714814,0.0
32,0.7651749019552877,0.0,0.67023801582801645,0.0,0.67023801582801645,0.0,0.60346485275141859,0.0
34,0.75174842378586493,0.0,0.65487082192888513,0.0,0.65487082192888513,0.0,0.57013079504023745,0.0
36,0.73858688424966668,0.0,0.63950245395442762,0.0,0.63950245395442762,0.0,0.54969231704718857,0.0
38,0.72618048726732498,0.0,0.62082588974177233,0.0,0.62082588974177233,0.0,0.53815065025876041,0.0
40,0.71379183812300528,0.0,0.6044164861628013,0.0,0.6044164861628013,0.0,0.52581846306864233,0.0
42,0.70105278892895351,0.0,0.5872784193971673,0.0,0.5872784193971673,0.0,0.5194989641401363,0.0
44,0.68697914374478619,0.0,0.56548636198543389,0.0,0.56548636198543389,0.0,0.52324250688808704,0.0
46,0.67289746644044246,0.0,0.53743526040117462,0.0,0.53743526040117462,0.0,0.501458523379953,0.0
48,0.6593773157320646,0.0,0.52158125286315904,0.0,0.52158125286315904,0.0,0.48997871847016966,0.0
0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999978,0.0
2,0.98224323282552861,0.0,0.93080099016156581,0.0,0.93080099016156581,0.0,0.90885179521164616,0.0
4,0.96557677500011907,0.0,0.87244580052939014,0.0,0.87244580052939014,0.0,0.84618208105739734,0.0
6,0.94918442653228485,0.0,0.82453017459229849,0.0,0.82453017459229849,0.0,0.79209478330115712,0.0
8,0.93291554843046864,0.0,0.7831832824738727,0.0,0.7831832824738727,0.0,0.74638673630777597,0.0
10,0.91659716748052145,0.0,0.75198175066947526,0.0,0.75198175066947526,0.0,0.72016067964941477,0.0
12,0.90062725925691001,0.0,0.72391003195118808,0.0,0.72391003195118808,0.0,0.69342876527342756,0.0
14,0.88529902303246644,0.0,0.70003539962189032,0.0,0.70003539962189032,0.0,0.69744867761872575,0.0
16,0.87009860936657779,0.0,0.68609119779558514,0.0,0.68609119779558514,0.0,0.69925325281361805,0.0
18,0.85578269205774626,0.0,0.67801064764193664,0.0,0.67801064764193664,0.0,0.68762934927807307,0.0
20,0.84225761257315024,0.0,0.67397562275906753,0.0,0.67397562275906753,0.0,0.6837493845347189,0.0
22,0.8286471254423301,0.0,0.66659575116337877,0.0,0.66659575116337877,0.0,0.69703446566769744,0.0
24,0.81504435396111496,0.0,0.66546944189603707,0.0,0.66546944189603707,0.0,0.68910657380915918,0.0
26,0.80237159609277087,0.0,0.66360933145777834,0.0,0.66360933145777834,0.0,0.67388865296981537,0.0
28,0.78999356543991639,0.0,0.6613172092292311,0.0,0.6613172092292311,0.0,0.65350131233374831,0.0
30,0.77637820670867796,0.0,0.6614102090147731,0.0,0.6614102090147731,0.0,0.61460850686431912,0.0
