missing,correlation,pvalue,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999978,0.0
2,0.98360473050566677,0.0,0.94181633447307445,0.0,0.94181633447307445,0.0,0.93548062405544796,0.0
4,0.96800374509801401,0.0,0.88833603044615594,0.0,0.88833603044615594,0.0,0.87217845681568962,0.0
6,0.95322326320765849,0.0,0.8391216447620421,0.0,0.8391216447620421,0.0,0.8007266103030295,0.0
8,0.93756664909617093,0.0,0.79680506917254157,0.0,0.79680506917254157,0.0,0.759403132904797,0.0
10,0.91935938245628612,0.0,0.75408386998033317,0.0,0.75408386998033317,0.0,0.71917720277508523,0.0
12,0.90425588908946608,0.0,0.72256477456113988,0.0,0.72256477456113988,0.0,0.67832028064651828,0.0
14,0.88903001112440705,0.0,0.69152262216063887,0.0,0.69152262216063887,0.0,0.65798453084947484,0.0
16,0.8728787974539377,0.0,0.66923522618351272,0.0,0.66923522618351272,0.0,0.6297255236976359,0.0
18,0.85762254600598387,0.0,0.65299459367088253,0.0,0.65299459367088253,0.0,0.61902513809757431,0.0
20,0.84323002939266611,0.0,0.70724686382332125,0.0,0.64265203436410245,0.0,0.59802992506785968,0.0
22,0.82873879453637911,0.0,0.69038892171064847,0.0,0.62114251458605596,0.0,0.55853943904327596,0.0
24,0.81426861928802652,0.0,0.67217820579346521,0.0,0.6196373980888048,0.0,0.54909046896676306,0.0
26,0.80146031311334143,0.0,0.65930582541586635,0.0,0.60887760349364684,0.0,0.5538596709244058,0.0
28,0.78772827528161871,0.0,0.64786967955704788,0.0,0.6082754548506385,0.0,0.54695322546165515,0.0
30,0.77487614196356269,0.0,0.63759333737677559,0.0,0.59700339645996425,0.0,0.54407954786180035,0.0
32,0.76221764623476751,0.0,0.62772252214497848,0.0,0.58634127909490452,0.0,0.54035064192282156,0.0
34,0.7505590071666185,0.0,0.61949549668702386,0.0,0.57581771040834284,0.0,0.52274856936276926,0.0
36,0.73706214492654154,0.0,0.60855281916527182,0.0,0.55213925646225925,0.0,0.49269098098693581,0.0
38,0.72412450073597578,0.0,0.59828294400643056,0.0,0.5365904281990197,0.0,0.47951968705315701,0.0
40,0.70988866980905729,0.0,0.58642534312873673,0.0,0.51844626894275203,0.0,0.45910560024721242,1.1675949558818259e-306
42,0.69792660853042066,0.0,0.57957871431534369,0.0,0.50434699009839556,0.0,0.44313357779187984,4.1877631154843562e-277
44,0.68310046530019808,0.0,0.56843345330603734,0.0,0.48574453830224046,0.0,0.41777280119180554,2.1183980308260014e-237
46,0.67176239381650149,0.0,0.56403006001463862,0.0,0.47868920389572878,0.0,0.41941296615713231,1.1954114666271387e-230
48,0.65982969206433717,0.0,0.55886821191998148,0.0,0.47398664624909193,0.0,0.47398664624909193,0.0
0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999978,0.0
2,0.98331977458225461,0.0,0.93391588597730046,0.0,0.93391588597730046,0.0,0.9193299754117561,0.0
4,0.96718629775168541,0.0,0.88375872456561544,0.0,0.88375872456561544,0.0,0.8643102013808176,0.0
6,0.95128946537016401,0.0,0.84311672215618616,0.0,0.84311672215618616,0.0,0.81381961314370499,0.0
8,0.93595103351797371,0.0,0.80209202410813307,0.0,0.80209202410813307,0.0,0.76769506143622612,0.0
10,0.91903472851124823,0.0,0.76190511446897047,0.0,0.76190511446897047,0.0,0.72760427473303513,0.0
12,0.90424866406161075,0.0,0.73569243922127281,0.0,0.73569243922127281,0.0,0.69503103293348911,0.0
14,0.88774720312972777,0.0,0.70979471899004498,0.0,0.70979471899004498,0.0,0.66463516446515203,0.0
16,0.87350746274355384,0.0,0.68023983955902723,0.0,0.68023983955902723,0.0,0.65090834849288581,0.0
18,0.85595826884909409,0.0,0.65749159061787266,0.0,0.65749159061787266,0.0,0.6247019325938904,0.0
20,0.84055003362356795,0.0,0.70589017297040302,0.0,0.63676927730651289,0.0,0.59608679834032663,0.0
22,0.82673950640326699,0.0,0.68916152893103333,0.0,0.62479785265243526,0.0,0.57310913539578379,0.0
24,0.8122089705772485,0.0,0.67375680861516063,0.0,0.60394174734156481,0.0,0.55345461692929787,0.0
26,0.79906846543875676,0.0,0.65963885381514475,0.0,0.60199518155611298,0.0,0.54717818395894646,0.0
28,0.78654201151376635,0.0,0.65068246251672157,0.0,0.59857998499435572,0.0,0.53951555565634057,0.0
30,0.77507261696650565,0.0,0.63985829735622068,0.0,0.58632465118171384,0.0,0.52675941556000416,0.0
32,0.76084477428028829,0.0,0.62471377884048207,0.0,0.57478552095782465,0.0,0.49229419907126437,0.0
34,0.74798230432780355,0.0,0.61700633946046934,0.0,0.56429374787184972,0.0,0.48469732943582844,0.0
36,0.73259223451741307,0.0,0.60476628855797132,0.0,0.54238227835677388,0.0,0.47134929162669531,0.0
38,0.72138313403133913,0.0,0.59945055232720612,0.0,0.52906067375894683,0.0,0.44971038741551717,6.977565334440792e-307
40,0.71018462056591147,0.0,0.5929238547213932,0.0,0.52119080384274397,0.0,0.43083468139230902,1.1340860708688908e-273
42,0.69613995356178016,0.0,0.58416512687898814,0.0,0.51307432668359854,0.0,0.42392226335619609,2.8294581399708965e-255
44,0.6810601677920628,0.0,0.57049052543083068,0.0,0.49599436838184396,0.0,0.41194622367119438,1.8457037455128267e-232
46,0.6663090208509751,0.0,0.55963168625962623,0.0,0.46997822380866561,0.0,0.36686927358489962,4.3513545481190244e-178
48,0.65381630875384544,0.0,0.55540758599164097,0.0,0.45585718206119519,0.0,0.45585718206119519,0.0
0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999978,0.0
2,0.98413836740444749,0.0,0.93293429139204032,0.0,0.93293429139204032,0.0,0.90515186034936579,0.0
4,0.96631996737673009,0.0,0.87828309456526021,0.0,0.87828309456526021,0.0,0.85288479802650674,0.0
6,0.95002282867704602,0.0,0.82643879301378553,0.0,0.82643879301378553,0.0,0.80244830287978619,0.0
8,0.93396808533479847,0.0,0.78866984078786739,0.0,0.78866984078786739,0.0,0.75689448871100085,0.0
10,0.91932610040401175,0.0,0.75711366196785568,0.0,0.75711366196785568,0.0,0.72118417955572123,0.0
12,0.90330204564970296,0.0,0.72745990859019161,0.0,0.72745990859019161,0.0,0.69115303640346881,0.0
14,0.88854545806479501,0.0,0.70260109275570537,0.0,0.70260109275570537,0.0,0.66770031581098721,0.0
16,0.8740432872457673,0.0,0.68560553327029716,0.0,0.68560553327029716,0.0,0.66818345489456588,0.0
18,0.85972963905532451,0.0,0.67392163968991226,0.0,0.67392163968991226,0.0,0.6484558930504627,0.0
20,0.84649205182294995,0.0,0.71395166239316954,0.0,0.6562162558139899,0.0,0.6295561018927035,0.0
22,0.83442109474997228,0.0,0.69883708915458975,0.0,0.64061602686271546,0.0,0.62037192515736994,0.0
24,0.82111182080433576,0.0,0.68614210989575297,0.0,0.63734889424952879,0.0,0.60566603523950702,0.0
26,0.80777035396617958,0.0,0.6757806763523484,0.0,0.63339106868368589,0.0,0.6030824631762689,0.0
28,0.79409171752753405,0.0,0.65659023176297637,0.0,0.61993783070001685,0.0,0.57135633012426912,0.0
30,0.78222297598459678,0.0,0.6472412999483752,0.0,0.61194842689990725,0.0,0.55548681415054191,0.0
32,0.76901537914025009,0.0,0.63618256778282378,0.0,0.60383726914060942,0.0,0.54155768732853404,0.0
34,0.75462809705228451,0.0,0.62506595743003901,0.0,0.59085345308616932,0.0,0.51869757254043014,0.0
36,0.74266495954384748,0.0,0.61599124355625201,0.0,0.57473968864935232,0.0,0.51367519862736044,0.0
38,0.72898195974786295,0.0,0.60693565161384766,0.0,0.55765680841451182,0.0,0.50936880871819468,0.0
40,0.71600759283148374,0.0,0.60237499296385033,0.0,0.54137200289922571,0.0,0.46868568175961517,0.0
42,0.70244373100320523,0.0,0.59088391349128544,0.0,0.52236614803163395,0.0,0.4390788212887633,2.6635558857695077e-275
44,0.68717912016577209,0.0,0.57921738864046202,0.0,0.50621092194847761,0.0,0.43702860087331302,6.3656261516109241e-262
46,0.67488977267436878,0.0,0.57465949113428239,0.0,0.48957047868151088,0.0,0.43653215492650344,1.2155743635236269e-251
48,0.65857506667154309,0.0,0.56327637758122751,0.0,0.46889222266005842,0.0,0.46889222266005842,0.0
0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999978,0.0
2,0.98446328371207303,0.0,0.93913321093146218,0.0,0.93913321093146218,0.0,0.92625655020232633,0.0
4,0.96862273414879374,0.0,0.88202812074183323,0.0,0.88202812074183323,0.0,0.85103503551058535,0.0
6,0.95110539982633258,0.0,0.82666718628756741,0.0,0.82666718628756741,0.0,0.78775571967243896,0.0
8,0.93327067785756401,0.0,0.78671867697741049,0.0,0.78671867697741049,0.0,0.73745342435931305,0.0
10,0.9175104123189034,0.0,0.75546308932887019,0.0,0.75546308932887019,0.0,0.69731555009334267,0.0
12,0.90164558666488892,0.0,0.72464411050381117,0.0,0.72464411050381117,0.0,0.67699892748315571,0.0
14,0.88631298815878956,0.0,0.70345213700374543,0.0,0.70345213700374543,0.0,0.64469998073383783,0.0
16,0.87215365615511786,0.0,0.68833405881096499,0.0,0.68833405881096499,0.0,0.62531327543677795,0.0
18,0.85695170802689435,0.0,0.67703950725439677,0.0,0.67703950725439677,0.0,0.59865662164939804,0.0
20,0.84132691171450857,0.0,0.70251008765931144,0.0,0.66499821200661546,0.0,0.5790433443345695,0.0
22,0.82804486756198092,0.0,0.68734544513295459,0.0,0.65209629736664254,0.0,0.55511644578334951,0.0
24,0.8142615758506937,0.0,0.66985310651276464,0.0,0.64030557379522046,0.0,0.54088417601092043,0.0
26,0.80146679899194706,0.0,0.65802182435956258,0.0,0.63126123028660663,0.0,0.54737030588430224,0.0
28,0.78623451750899398,0.0,0.64511903554094585,0.0,0.62304506514159019,0.0,0.52591500664812718,0.0
30,0.77111890072340183,0.0,0.63205776170623451,0.0,0.61494246284820187,0.0,0.51467425746940432,0.0
32,0.75852049426703905,0.0,0.62498403316334927,0.0,0.60636828914730001,0.0,0.51448002951347926,0.0
34,0.74349150210550674,0.0,0.61483549807600346,0.0,0.59427727050840384,0.0,0.51146811963233019,0.0
36,0.73045894413435397,0.0,0.60823180823593503,0.0,0.58430849343032953,0.0,0.49408755226118301,0.0
38,0.71899116135976882,0.0,0.60256856246362134,0.0,0.57371441973971316,0.0,0.49374426779951736,0.0
40,0.70483363640338303,0.0,0.5966552983764527,0.0,0.56540279842311247,0.0,0.47290304124740173,0.0
42,0.68889590566870584,0.0,0.58368990893191353,0.0,0.54896602964251917,0.0,0.44971110523697799,1.4401764843248352e-290
44,0.67678932843071793,0.0,0.5746000847993108,0.0,0.53470092899156596,0.0,0.4286702236768814,3.166732223252048e-255
46,0.66530368151200447,0.0,0.56995115278572017,0.0,0.52810993911507953,0.0,0.43743964834052274,1.2059165532729642e-254
48,0.65362665612494475,0.0,0.56444428389727586,0.0,0.51895093695537153,0.0,0.51895093695537153,0.0
0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999978,0.0
2,0.9825912814080412,0.0,0.94249878362097661,0.0,0.94249878362097661,0.0,0.92174977894830412,0.0
4,0.9646868788664803,0.0,0.8793793017899153,0.0,0.8793793017899153,0.0,0.85814440681851301,0.0
6,0.94799551205884847,0.0,0.8334427577169542,0.0,0.8334427577169542,0.0,0.79245266193355912,0.0
8,0.93195312467791713,0.0,0.79002354173496903,0.0,0.79002354173496903,0.0,0.74555775369712396,0.0
10,0.91548567175294415,0.0,0.75895348118893757,0.0,0.75895348118893757,0.0,0.71272011487231923,0.0
12,0.90097325737078071,0.0,0.73398575793676435,0.0,0.73398575793676435,0.0,0.68221213781716861,0.0
14,0.88464195075584551,0.0,0.70521722944301846,0.0,0.70521722944301846,0.0,0.64092015202890662,0.0
16,0.86873245265964949,0.0,0.68165843454820019,0.0,0.68165843454820019,0.0,0.61493940591419827,0.0
18,0.85471446914381288,0.0,0.66405100293634034,0.0,0.66405100293634034,0.0,0.61331498680701757,0.0
20,0.84064359556678137,0.0,0.71080674340677208,0.0,0.65097365565349796,0.0,0.59925753713460583,0.0
22,0.82660185635280492,0.0,0.69490444176935917,0.0,0.63994702949660709,0.0,0.58233163452606018,0.0
24,0.81345177145182535,0.0,0.67710697186193547,0.0,0.63817119783385012,0.0,0.56768006796708759,0.0
26,0.80022941012644344,0.0,0.66213088895956562,0.0,0.62954599956630741,0.0,0.55891356337791676,0.0
28,0.78875291242490475,0.0,0.65228778415631705,0.0,0.61985467450567111,0.0,0.53788856970497023,0.0
30,0.77377577023346222,0.0,0.63928650600572545,0.0,0.60379691567586535,0.0,0.49747330329103989,0.0
32,0.7618581312673377,0.0,0.63004683533296613,0.0,0.60464952926026105,0.0,0.48569091474899156,0.0
34,0.75014193976657761,0.0,0.62075684216498062,0.0,0.59093731917787662,0.0,0.48002201957369217,0.0
36,0.73599531829590914,0.0,0.60806162212930903,0.0,0.57357332548434425,0.0,0.46785338236520535,0.0
38,0.72075931049575193,0.0,0.59760072488753435,0.0,0.55787810247322822,0.0,0.47431673557264492,0.0
40,0.70633019854366441,0.0,0.58786678240949741,0.0,0.54027085330165803,0.0,0.46031484720004162,8.7750483007645744e-309
42,0.69070435651237927,0.0,0.57339648599435811,0.0,0.52521072243068267,0.0,0.44388520089852418,2.1199398025223749e-276
44,0.67517151363448535,0.0,0.56147853000476744,0.0,0.50454595790472756,0.0,0.40327848606590661,4.3786148957014698e-220
46,0.65959757201448588,0.0,0.54938383298094695,0.0,0.47999272514661606,0.0,0.40532562054744342,8.7042315363628646e-214
48,0.65005575510187086,0.0,0.55031711917953474,0.0,0.47260275698449594,0.0,0.47260275698449594,0.0
0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999978,0.0
2,0.98119170896319086,0.0,0.93627385416390851,0.0,0.93627385416390851,0.0,0.91986660599330516,0.0
4,0.96458876675786798,0.0,0.88445307558577912,0.0,0.88445307558577912,0.0,0.8495671636769313,0.0
6,0.94918430539143794,0.0,0.84902043723379916,0.0,0.84902043723379916,0.0,0.80474840709309015,0.0
8,0.93268776699207612,0.0,0.80393172688045911,0.0,0.80393172688045911,0.0,0.74425119231037229,0.0
10,0.91842335676654985,0.0,0.76377163619486643,0.0,0.76377163619486643,0.0,0.70245810884793858,0.0
12,0.90329819704976178,0.0,0.73824031077550656,0.0,0.73824031077550656,0.0,0.68045557462245643,0.0
14,0.88818977200054827,0.0,0.70454336384626015,0.0,0.70454336384626015,0.0,0.66184561302489553,0.0
16,0.87508332185984283,0.0,0.68839183979329333,0.0,0.68839183979329333,0.0,0.63648749940679927,0.0
18,0.8609722564981932,0.0,0.66956794808060938,0.0,0.66956794808060938,0.0,0.63284313983772156,0.0
20,0.84611189461652669,0.0,0.71688129875741613,0.0,0.65456519083200648,0.0,0.61165971683753895,0.0
22,0.83137072876362783,0.0,0.69867639736203702,0.0,0.65221427578325075,0.0,0.60087488183013704,0.0
24,0.81439128749748158,0.0,0.67546546333497681,0.0,0.6372141851913169,0.0,0.57912738768257344,0.0
26,0.8006331103240808,0.0,0.65645035245190408,0.0,0.63473771800691714,0.0,0.57104060869659012,0.0
28,0.78486546434833138,0.0,0.64267067351853735,0.0,0.62026055842138461,0.0,0.55105844894674949,0.0
30,0.77400360537574875,0.0,0.62896183847798115,0.0,0.60853043831512865,0.0,0.54033912794145322,0.0
32,0.76018641142578824,0.0,0.62014372750363134,0.0,0.60350987499679809,0.0,0.53692668442322744,0.0
34,0.74641887114610239,0.0,0.61262022709229325,0.0,0.59425084055213262,0.0,0.5350067491355035,0.0
36,0.73619019108501216,0.0,0.60747916637848431,0.0,0.5844412269854945,0.0,0.53433999859644721,0.0
38,0.72313015576926898,0.0,0.59455357344048998,0.0,0.55987967294076357,0.0,0.52754825692777152,0.0
40,0.70987357606966739,0.0,0.58520669182311269,0.0,0.55219032681222346,0.0,0.51575301626304237,0.0
42,0.69752555352385648,0.0,0.57835620122253939,0.0,0.5322212326487632,0.0,0.48446544091557703,0.0
44,0.68445227113114859,0.0,0.5714767064521773,0.0,0.51359819529186279,0.0,0.46539123777520053,9.5748200418754187e-299
46,0.66944568882733779,0.0,0.55835578427955868,0.0,0.50023507095898034,0.0,0.46849541729664745,4.7321399210320635e-290
48,0.65455244898878173,0.0,0.54559343601893473,0.0,0.48266908032264572,0.0,0.48266908032264572,0.0
0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999989,0.0,0.99999999999999978,0.0
2,0.98469469916930941,0.0,0.94632204589014124,0.0,0.94632204589014124,0.0,0.93162904792977874,0.0
4,0.96935421039167036,0.0,0.89568630638420854,0.0,0.89568630638420854,0.0,0.87253567402565624,0.0
6,0.95117217136024346,0.0,0.85053646053876442,0.0,0.85053646053876442,0.0,0.8227222045956295,0.0
